filename,greedy__generated_easy
2000_0000.hgr,0.0229501724243164
2000_0001.hgr,0.0244789123535156
2000_0002.hgr,0.0253269672393798
2000_0003.hgr,0.0413315296173095
2000_0004.hgr,0.0542254447937011
2000_0005.hgr,0.048926830291748
2000_0006.hgr,0.0847892761230468
2000_0007.hgr,0.1049907207489013
2000_0008.hgr,0.0754954814910888
2000_0009.hgr,0.1556489467620849
2000_0010.hgr,0.1064612865447998
2000_0011.hgr,0.0514492988586425
2000_0012.hgr,0.1832613945007324
2000_0013.hgr,0.080296516418457
2000_0014.hgr,0.0479216575622558
2000_0015.hgr,0.1810023784637451
2000_0016.hgr,0.076960802078247
2000_0017.hgr,0.0480585098266601
2000_0018.hgr,0.1538379192352295
2000_0019.hgr,0.0786700248718261
2000_0020.hgr,0.0485732555389404
2000_0021.hgr,0.1486053466796875
2000_0022.hgr,0.0729720592498779
2000_0023.hgr,0.1308479309082031
2000_0024.hgr,0.141672134399414
AVERAGE,0.0875501918792724
