filename,n1024000_m64000__greedy_explore
random_i0_n1024000_m64000.hgr,1.0
random_i10_n1024000_m64000.hgr,1.0
random_i11_n1024000_m64000.hgr,1.0
random_i12_n1024000_m64000.hgr,1.0
random_i13_n1024000_m64000.hgr,1.0
random_i14_n1024000_m64000.hgr,1.0
random_i15_n1024000_m64000.hgr,1.0
random_i16_n1024000_m64000.hgr,1.0
random_i17_n1024000_m64000.hgr,1.0
random_i18_n1024000_m64000.hgr,1.0
random_i19_n1024000_m64000.hgr,1.0
random_i1_n1024000_m64000.hgr,1.0
random_i20_n1024000_m64000.hgr,1.0
random_i21_n1024000_m64000.hgr,1.0
random_i22_n1024000_m64000.hgr,1.0
random_i23_n1024000_m64000.hgr,1.0
random_i24_n1024000_m64000.hgr,1.0
random_i25_n1024000_m64000.hgr,1.0
random_i26_n1024000_m64000.hgr,1.0
random_i27_n1024000_m64000.hgr,1.0
random_i28_n1024000_m64000.hgr,1.0
random_i29_n1024000_m64000.hgr,1.0
random_i2_n1024000_m64000.hgr,1.0
random_i3_n1024000_m64000.hgr,1.0
random_i4_n1024000_m64000.hgr,1.0
random_i5_n1024000_m64000.hgr,1.0
random_i6_n1024000_m64000.hgr,1.0
random_i7_n1024000_m64000.hgr,1.0
random_i8_n1024000_m64000.hgr,1.0
random_i9_n1024000_m64000.hgr,1.0
AVERAGE,1.0
