filename,n4000_m256000__greedy_lsr100000x5_flat_explore
random_i0_n4000_m256000.hgr,1720.0
random_i10_n4000_m256000.hgr,1735.0
random_i11_n4000_m256000.hgr,1727.0
random_i12_n4000_m256000.hgr,1723.0
random_i13_n4000_m256000.hgr,1703.0
random_i14_n4000_m256000.hgr,1744.0
random_i15_n4000_m256000.hgr,1735.0
random_i16_n4000_m256000.hgr,1728.0
random_i17_n4000_m256000.hgr,1728.0
random_i18_n4000_m256000.hgr,1720.0
random_i19_n4000_m256000.hgr,1738.0
random_i1_n4000_m256000.hgr,1727.0
random_i20_n4000_m256000.hgr,1731.0
random_i21_n4000_m256000.hgr,1729.0
random_i22_n4000_m256000.hgr,1738.0
random_i23_n4000_m256000.hgr,1726.0
random_i24_n4000_m256000.hgr,1729.0
random_i25_n4000_m256000.hgr,1725.0
random_i26_n4000_m256000.hgr,1718.0
random_i27_n4000_m256000.hgr,1737.0
random_i28_n4000_m256000.hgr,1741.0
random_i29_n4000_m256000.hgr,1729.0
random_i2_n4000_m256000.hgr,1720.0
random_i3_n4000_m256000.hgr,1719.0
random_i4_n4000_m256000.hgr,1738.0
random_i5_n4000_m256000.hgr,1720.0
random_i6_n4000_m256000.hgr,1723.0
random_i7_n4000_m256000.hgr,1734.0
random_i8_n4000_m256000.hgr,1742.0
random_i9_n4000_m256000.hgr,1745.0
AVERAGE,1729.0666666666666
