filename,greedy___hse,greedy__lsrlp100000x4__hse,greedy__lsr100000x4__hse
exact_001.hgr,1.0755555555555556,1.0755555555555556,1.0044444444444445
exact_002.hgr,1.0888888888888888,1.0888888888888888,1.0044444444444445
exact_003.hgr,1.0285714285714285,1.0285714285714285,1.0
exact_004.hgr,1.0486111111111112,1.0486111111111112,1.0
exact_005.hgr,1.081945661700263,1.081945661700263,1.0144609991235758
exact_006.hgr,1.0977777777777775,1.0977777777777775,1.0044444444444445
exact_007.hgr,1.0735294117647058,1.0735294117647058,1.0
exact_008.hgr,1.0933333333333333,1.0888888888888888,1.0044444444444445
exact_009.hgr,1.1281052118850463,1.1281052118850463,1.014125669751583
exact_010.hgr,1.1269744835965978,1.1269744835965978,1.013973268529769
exact_011.hgr,1.0755555555555556,1.0755555555555556,1.0044444444444445
exact_012.hgr,1.106666666666667,1.106666666666667,1.008888888888889
exact_013.hgr,1.0977777777777775,1.0977777777777775,1.0044444444444445
exact_014.hgr,1.1313497822931786,1.1313497822931786,1.0130624092888243
exact_015.hgr,1.0425531914893618,1.0425531914893618,1.0
exact_016.hgr,1.0977777777777775,1.0977777777777775,1.0044444444444445
exact_017.hgr,1.130412633723892,1.130412633723892,1.012735608762099
exact_018.hgr,1.08,1.08,1.0044444444444445
exact_019.hgr,1.1155555555555556,1.1155555555555556,1.0044444444444445
exact_020.hgr,1.127492130115425,1.127492130115425,1.0183630640083945
exact_021.hgr,1.0807291666666667,1.0807291666666667,1.0104166666666667
exact_022.hgr,1.1369206180074587,1.1369206180074587,1.0122535961640915
exact_023.hgr,1.1323383084577114,1.1323383084577114,1.0109452736318407
exact_024.hgr,1.0844444444444443,1.0844444444444443,1.008888888888889
exact_025.hgr,1.1244444444444444,1.1244444444444444,1.0044444444444445
exact_026.hgr,1.127455459113751,1.127455459113751,1.0155322064869805
exact_027.hgr,1.0933333333333333,1.0933333333333333,1.008888888888889
exact_028.hgr,1.1219512195121952,1.1219512195121952,1.0144124168514412
exact_029.hgr,1.051094890510949,1.051094890510949,1.0
exact_030.hgr,1.1340823970037452,1.1340823970037452,1.0127340823970037
exact_031.hgr,1.0933333333333333,1.0933333333333333,1.008888888888889
exact_032.hgr,1.0888888888888888,1.0888888888888888,1.0044444444444445
exact_033.hgr,1.020979020979021,1.020979020979021,1.0
exact_034.hgr,1.0711111111111111,1.0711111111111111,1.008888888888889
exact_035.hgr,1.0526315789473684,1.0526315789473684,1.0
exact_036.hgr,1.0711111111111111,1.0711111111111111,1.0044444444444445
exact_037.hgr,1.1366834170854272,1.1366834170854272,1.0110552763819096
exact_038.hgr,1.0933333333333333,1.0933333333333333,1.0044444444444445
exact_039.hgr,1.1245247148288973,1.1245247148288973,1.011406844106464
exact_040.hgr,1.1277747698971303,1.1277747698971303,1.011911207363292
exact_041.hgr,1.0597014925373134,1.0597014925373134,1.0
exact_042.hgr,1.0844444444444443,1.0844444444444443,1.0
exact_043.hgr,1.0503597122302155,1.0503597122302155,1.0
exact_044.hgr,1.1253602305475503,1.1253602305475503,1.0043227665706052
exact_045.hgr,1.1262626262626263,1.1262626262626263,1.010942760942761
exact_046.hgr,1.0977777777777775,1.0977777777777775,1.008888888888889
exact_047.hgr,1.0413793103448277,1.0413793103448277,1.0
exact_048.hgr,1.0933333333333333,1.0933333333333333,1.0044444444444445
exact_049.hgr,1.0953125,1.0953125,1.0255208333333334
exact_050.hgr,1.0218978102189782,1.0218978102189782,1.0
exact_051.hgr,1.1022222222222222,1.106666666666667,1.008888888888889
exact_052.hgr,1.0933333333333333,1.0933333333333333,1.008888888888889
exact_053.hgr,1.1334379905808478,1.1334379905808478,1.0120355834641548
exact_054.hgr,1.1022222222222222,1.1022222222222222,1.008888888888889
exact_055.hgr,1.1458333333333333,1.1458333333333333,1.0069444444444444
exact_056.hgr,1.1301720130172013,1.1301720130172013,1.0125523012552302
exact_057.hgr,1.036764705882353,1.036764705882353,1.0
exact_058.hgr,1.1022222222222222,1.1022222222222222,1.008888888888889
exact_059.hgr,1.1462140992167102,1.1462140992167102,1.0121845082680592
exact_060.hgr,1.1384892086330936,1.1384892086330936,1.0113908872901678
exact_061.hgr,1.1155555555555556,1.1155555555555556,1.0
exact_062.hgr,1.106666666666667,1.106666666666667,1.0044444444444445
exact_063.hgr,1.1679245283018869,1.1679245283018869,1.0169811320754718
exact_064.hgr,1.036231884057971,1.036231884057971,1.0072463768115942
exact_065.hgr,1.0888888888888888,1.0888888888888888,1.0044444444444445
exact_066.hgr,1.106666666666667,1.106666666666667,1.008888888888889
exact_067.hgr,1.0575539568345325,1.0575539568345325,1.0
exact_068.hgr,1.0977777777777775,1.0977777777777775,1.0044444444444445
exact_069.hgr,1.05,1.05,1.0
exact_070.hgr,1.106666666666667,1.106666666666667,1.008888888888889
exact_071.hgr,1.0808823529411764,1.0808823529411764,1.0
exact_072.hgr,1.1401693320790216,1.141110065851364,1.0169332079021638
exact_073.hgr,1.0933333333333333,1.0933333333333333,1.008888888888889
exact_074.hgr,1.0518518518518518,1.0518518518518518,1.0
exact_075.hgr,1.065217391304348,1.065217391304348,1.0
exact_076.hgr,1.0575539568345325,1.0575539568345325,1.0071942446043165
exact_077.hgr,1.0888888888888888,1.0888888888888888,1.0044444444444445
exact_078.hgr,1.1334379905808478,1.1334379905808478,1.010989010989011
exact_079.hgr,1.08,1.08,1.008888888888889
exact_080.hgr,1.0977777777777775,1.0977777777777775,1.008888888888889
exact_081.hgr,1.041958041958042,1.041958041958042,1.0
