filename,n4000_m1024000__adaptiveGreedy_explore
random_i0_n4000_m1024000.hgr,2706.0
random_i10_n4000_m1024000.hgr,2692.0
random_i11_n4000_m1024000.hgr,2703.0
random_i12_n4000_m1024000.hgr,2694.0
random_i13_n4000_m1024000.hgr,2694.0
random_i14_n4000_m1024000.hgr,2706.0
random_i15_n4000_m1024000.hgr,2693.0
random_i16_n4000_m1024000.hgr,2704.0
random_i17_n4000_m1024000.hgr,2705.0
random_i18_n4000_m1024000.hgr,2701.0
random_i19_n4000_m1024000.hgr,2686.0
random_i1_n4000_m1024000.hgr,2692.0
random_i20_n4000_m1024000.hgr,2705.0
random_i21_n4000_m1024000.hgr,2692.0
random_i22_n4000_m1024000.hgr,2704.0
random_i23_n4000_m1024000.hgr,2703.0
random_i24_n4000_m1024000.hgr,2684.0
random_i25_n4000_m1024000.hgr,2711.0
random_i26_n4000_m1024000.hgr,2697.0
random_i27_n4000_m1024000.hgr,2701.0
random_i28_n4000_m1024000.hgr,2696.0
random_i29_n4000_m1024000.hgr,2691.0
random_i2_n4000_m1024000.hgr,2691.0
random_i3_n4000_m1024000.hgr,2692.0
random_i4_n4000_m1024000.hgr,2716.0
random_i5_n4000_m1024000.hgr,2691.0
random_i6_n4000_m1024000.hgr,2697.0
random_i7_n4000_m1024000.hgr,2709.0
random_i8_n4000_m1024000.hgr,2695.0
random_i9_n4000_m1024000.hgr,2696.0
AVERAGE,2698.233333333333
