filename,n1024000_m64000__greedy_explore
random_i0_n1024000_m64000.hgr,1.8307290077209477
random_i10_n1024000_m64000.hgr,1.8872933387756348
random_i11_n1024000_m64000.hgr,1.7825465202331543
random_i12_n1024000_m64000.hgr,1.8819963932037356
random_i13_n1024000_m64000.hgr,1.9344120025634768
random_i14_n1024000_m64000.hgr,1.9677073955535889
random_i15_n1024000_m64000.hgr,1.862617254257202
random_i16_n1024000_m64000.hgr,1.9582090377807615
random_i17_n1024000_m64000.hgr,1.7887113094329834
random_i18_n1024000_m64000.hgr,1.8673441410064695
random_i19_n1024000_m64000.hgr,1.974360704421997
random_i1_n1024000_m64000.hgr,1.8555030822753904
random_i20_n1024000_m64000.hgr,1.9874305725097656
random_i21_n1024000_m64000.hgr,1.9823291301727293
random_i22_n1024000_m64000.hgr,1.83960223197937
random_i23_n1024000_m64000.hgr,1.9024326801300049
random_i24_n1024000_m64000.hgr,1.8616151809692385
random_i25_n1024000_m64000.hgr,1.8644964694976809
random_i26_n1024000_m64000.hgr,1.8048691749572756
random_i27_n1024000_m64000.hgr,1.8373916149139404
random_i28_n1024000_m64000.hgr,1.9249815940856931
random_i29_n1024000_m64000.hgr,1.9783220291137693
random_i2_n1024000_m64000.hgr,2.305618524551392
random_i3_n1024000_m64000.hgr,2.017390489578247
random_i4_n1024000_m64000.hgr,2.0592732429504395
random_i5_n1024000_m64000.hgr,2.1895313262939453
random_i6_n1024000_m64000.hgr,1.944313764572144
random_i7_n1024000_m64000.hgr,1.897803783416748
random_i8_n1024000_m64000.hgr,2.0773181915283203
random_i9_n1024000_m64000.hgr,2.0835695266723637
AVERAGE,1.9383239905039469
