filename,n256000_m4000__greedy_lsr10000x5_flat_explore
random_i0_n256000_m4000.hgr,1553.0
random_i10_n256000_m4000.hgr,1552.0
random_i11_n256000_m4000.hgr,1570.0
random_i12_n256000_m4000.hgr,1548.0
random_i13_n256000_m4000.hgr,1548.0
random_i14_n256000_m4000.hgr,1564.0
random_i15_n256000_m4000.hgr,1557.0
random_i16_n256000_m4000.hgr,1560.0
random_i17_n256000_m4000.hgr,1531.0
random_i18_n256000_m4000.hgr,1584.0
random_i19_n256000_m4000.hgr,1562.0
random_i1_n256000_m4000.hgr,1540.0
random_i20_n256000_m4000.hgr,1551.0
random_i21_n256000_m4000.hgr,1517.0
random_i22_n256000_m4000.hgr,1545.0
random_i23_n256000_m4000.hgr,1560.0
random_i24_n256000_m4000.hgr,1526.0
random_i25_n256000_m4000.hgr,1560.0
random_i26_n256000_m4000.hgr,1567.0
random_i27_n256000_m4000.hgr,1558.0
random_i28_n256000_m4000.hgr,1576.0
random_i29_n256000_m4000.hgr,1569.0
random_i2_n256000_m4000.hgr,1564.0
random_i3_n256000_m4000.hgr,1564.0
random_i4_n256000_m4000.hgr,1558.0
random_i5_n256000_m4000.hgr,1526.0
random_i6_n256000_m4000.hgr,1562.0
random_i7_n256000_m4000.hgr,1555.0
random_i8_n256000_m4000.hgr,1526.0
random_i9_n256000_m4000.hgr,1550.0
AVERAGE,1553.4333333333334
