filename,n256000_m256000__greedy_lsr10000x5_flat_explore
random_i0_n256000_m256000.hgr,20705.0
random_i10_n256000_m256000.hgr,20689.0
random_i11_n256000_m256000.hgr,20678.0
random_i12_n256000_m256000.hgr,20648.0
random_i13_n256000_m256000.hgr,20616.0
random_i14_n256000_m256000.hgr,20714.0
random_i15_n256000_m256000.hgr,20675.0
random_i16_n256000_m256000.hgr,20742.0
random_i17_n256000_m256000.hgr,20765.0
random_i18_n256000_m256000.hgr,20690.0
random_i19_n256000_m256000.hgr,20648.0
random_i1_n256000_m256000.hgr,20653.0
random_i20_n256000_m256000.hgr,20668.0
random_i21_n256000_m256000.hgr,20631.0
random_i22_n256000_m256000.hgr,20717.0
random_i23_n256000_m256000.hgr,20640.0
random_i24_n256000_m256000.hgr,20671.0
random_i25_n256000_m256000.hgr,20599.0
random_i26_n256000_m256000.hgr,20702.0
random_i27_n256000_m256000.hgr,20775.0
random_i28_n256000_m256000.hgr,20774.0
random_i29_n256000_m256000.hgr,20739.0
random_i2_n256000_m256000.hgr,20602.0
random_i3_n256000_m256000.hgr,20688.0
random_i4_n256000_m256000.hgr,20671.0
random_i5_n256000_m256000.hgr,20679.0
random_i6_n256000_m256000.hgr,20618.0
random_i7_n256000_m256000.hgr,20685.0
random_i8_n256000_m256000.hgr,20786.0
random_i9_n256000_m256000.hgr,20656.0
AVERAGE,20684.13333333333
