filename,adaptiveGreedy_ku_lst25x150__hsh,greedy_ku_lst25x150__hsh,adaptiveGreedy_ku__hsh
heuristic_015.hgr,0.9736815161284684,0.9906353245546784,0.9737139803366788
heuristic_016.hgr,0.9840446627413894,0.9862106836694224,0.9842073685388002
heuristic_017.hgr,0.9686825405082056,0.9878085255793388,0.9686987958074332
heuristic_018.hgr,0.9693799409248202,0.9892040972610076,0.9694000932765996
heuristic_019.hgr,0.9705638254666172,0.9834454627324256,0.9706300436156876
heuristic_020.hgr,0.97207671656418,0.9870597734942752,0.972093970199521
heuristic_021.hgr,0.9918849612101146,0.99292368617522,0.9920310319083324
heuristic_022.hgr,0.971153209520972,0.9844820736915284,0.9712442480219816
heuristic_023.hgr,0.9774839052233356,0.9777576823521604,0.9777410897988984
heuristic_024.hgr,0.970479939055358,0.973518102009722,0.970534353914242
heuristic_025.hgr,0.9770851014582208,0.9801519944448732,0.97715582645372
heuristic_026.hgr,0.9727657336807132,0.9820732844133184,0.9728326600855702
heuristic_027.hgr,0.9733316481294236,0.976937984496124,0.9734917425008426
heuristic_028.hgr,0.9996105919003117,0.9996105919003117,0.9996105919003117
heuristic_029.hgr,0.9905741216795202,0.9914310197086548,0.9940017137960584
heuristic_030.hgr,0.9873873873873874,0.9896563229896564,0.9883216549883216
heuristic_031.hgr,0.970620930601874,0.9751865967921232,0.970693716584617
heuristic_032.hgr,0.9718222055981548,0.9760769278723272,0.971985848762546
heuristic_033.hgr,0.9978864508511266,0.99883892551412,0.9978864508511266
heuristic_034.hgr,0.9963547995139732,0.9963547995139732,0.9963547995139732
heuristic_035.hgr,0.9701522693459216,0.9741197215436328,0.970253292434289
heuristic_036.hgr,0.9947826086956522,0.9965217391304348,1.0
heuristic_037.hgr,0.9542410714285714,0.9694196428571428,0.9578125
heuristic_038.hgr,0.971450782236906,0.9817801962880186,0.9714945097658148
heuristic_039.hgr,0.9736139498057412,0.9775267451067042,0.9737336353090648
heuristic_040.hgr,0.996352860724869,0.997036699338956,0.9965808069295646
heuristic_041.hgr,0.9748743032025358,0.99146081538966,0.9749016285932888
heuristic_042.hgr,0.970369404245985,0.9777681604486682,0.9704227606609082
heuristic_043.hgr,0.9975698663426488,0.9963547995139732,0.9975698663426488
heuristic_044.hgr,0.9742991168762526,0.9780210099764354,0.9744092320567314
heuristic_045.hgr,0.997329138006732,0.9974023123079174,0.9973657251573248
heuristic_046.hgr,0.9752543594352876,0.9848173834886008,0.975302943808124
heuristic_047.hgr,0.989587496581754,0.9907654767664444,0.9898819916279266
heuristic_048.hgr,0.9747714117943126,0.9781582920895898,0.9748448116768728
heuristic_049.hgr,0.9792656587473002,0.978113750899928,0.9798416126709864
heuristic_050.hgr,0.9531795946890288,0.9685534591194968,0.9662240857209412
heuristic_051.hgr,1.0,1.0,1.0
heuristic_052.hgr,0.973115193264447,0.9768291410082456,0.9732282642730404
heuristic_053.hgr,0.9722498608698584,0.9841897566487344,0.9723131018432636
heuristic_054.hgr,0.9707852358557788,0.9838055631129594,0.9708802432188496
heuristic_055.hgr,0.969917709435142,0.9750533857544854,0.9700108434616588
heuristic_056.hgr,0.9931740614334472,0.9931740614334472,0.9965870307167236
heuristic_057.hgr,0.974068146498736,0.9776710814216902,0.974184120798831
heuristic_058.hgr,0.9236747155148488,0.9253399944490702,0.9575353871773522
heuristic_059.hgr,0.9635999899343216,0.9842723772616322,0.9637803333417214
heuristic_060.hgr,1.0,1.0,1.0
heuristic_061.hgr,0.9516095534787125,0.967601246105919,0.953478712357217
heuristic_062.hgr,0.9750291018714742,0.9888069725099244,0.9750410411007968
heuristic_063.hgr,0.9744023133629292,0.98090864660123,0.9744481326110862
heuristic_064.hgr,0.9991179064980888,0.9988238753307852,0.9991179064980888
heuristic_065.hgr,0.968366486587765,0.9720409289156752,0.9684601692533492
heuristic_066.hgr,0.972247377364442,0.9809216617995706,0.9722728151487092
heuristic_067.hgr,0.971909512568358,0.9752428854434808,0.9719569627160464
heuristic_068.hgr,0.9828186448326994,0.9821578234801108,0.983092643930114
heuristic_069.hgr,0.9835,0.9846923076923076,0.9835769230769232
heuristic_070.hgr,0.9354756401404856,0.9512502626602228,0.9369165190766368
heuristic_071.hgr,0.9682083278520104,0.9765086166394168,0.9682584428031796
heuristic_072.hgr,0.9846043680630148,0.9813820264948084,0.9856784819190836
heuristic_073.hgr,0.9898338561635878,0.992738468688277,0.990356686418032
heuristic_074.hgr,0.9733922456166884,0.9797444013525338,0.9734246545745244
heuristic_075.hgr,0.9723706569290286,0.976145196861781,0.9724574279619652
heuristic_076.hgr,0.9629204265791632,0.9673502871205908,0.9680065627563575
heuristic_077.hgr,0.954210322079938,0.9615832363213038,0.9594489716724874
heuristic_078.hgr,0.9752095475695688,0.9899833857758736,0.9752335874437066
heuristic_079.hgr,0.996541217162151,0.996541217162151,0.9966235691344808
heuristic_080.hgr,0.983729662077597,0.9824780976220276,0.9937421777221528
heuristic_081.hgr,0.9705755615505348,0.9902066526861192,0.9705938424655208
heuristic_082.hgr,0.9678112636154936,0.9738331321391938,0.9678531306040709
heuristic_083.hgr,0.9656496692980584,0.9733304885854492,0.9673565180285896
heuristic_084.hgr,0.9966564502646976,0.9969350794093064,0.9969350794093064
heuristic_085.hgr,0.9696504487482286,0.98139519903809,0.9701550221153432
heuristic_086.hgr,0.9961597542242704,0.9961597542242704,0.9976958525345622
heuristic_087.hgr,0.9740695562035694,0.9803676228070636,0.9741219092094172
heuristic_088.hgr,0.9682757766050016,0.9898976020948332,0.9682865524961004
heuristic_089.hgr,0.9716455967594968,0.9753133686072422,0.9717834253466772
heuristic_090.hgr,0.9693403553972644,0.9730989277459932,0.9694994885007387
heuristic_091.hgr,0.971820790961596,0.9810181365378092,0.9718815329246748
heuristic_092.hgr,0.9708710434022244,0.9940810844084714,0.9708773569121886
heuristic_093.hgr,0.97808292487138,0.978715382089298,0.9781437380654108
heuristic_094.hgr,0.972384342573645,0.987662769198376,0.972400792214714
heuristic_095.hgr,0.9525012632642748,0.9403739262253664,0.9666498231430016
heuristic_096.hgr,0.9932222536006776,0.9938812011672784,0.993692930433964
heuristic_097.hgr,0.9697250889607928,0.989913742324358,0.9697466063105008
heuristic_098.hgr,0.9744649805447472,0.9759241245136188,0.9800583657587548
heuristic_099.hgr,0.9831326246420586,0.9832699172321814,0.9832895304593418
