filename,n4000_m64000__greedy_explore
random_i0_n4000_m64000.hgr,0.6651601976313104
random_i10_n4000_m64000.hgr,0.7898481513874316
random_i11_n4000_m64000.hgr,0.5197657329597595
random_i12_n4000_m64000.hgr,0.5797263936716773
random_i13_n4000_m64000.hgr,0.58614865210811
random_i14_n4000_m64000.hgr,0.48886061870335307
random_i15_n4000_m64000.hgr,0.7026109680355876
random_i16_n4000_m64000.hgr,0.5931550629732337
random_i17_n4000_m64000.hgr,0.5623690634677372
random_i18_n4000_m64000.hgr,0.6018994977521283
random_i19_n4000_m64000.hgr,0.5756047064463108
random_i1_n4000_m64000.hgr,0.570129482383931
random_i20_n4000_m64000.hgr,0.48331969975253747
random_i21_n4000_m64000.hgr,0.5092252028895821
random_i22_n4000_m64000.hgr,0.6832230008681339
random_i23_n4000_m64000.hgr,0.5947317384200528
random_i24_n4000_m64000.hgr,0.6129800315590046
random_i25_n4000_m64000.hgr,0.5798062459975872
random_i26_n4000_m64000.hgr,0.5396075959631278
random_i27_n4000_m64000.hgr,0.5816850519474809
random_i28_n4000_m64000.hgr,0.5442836037729474
random_i29_n4000_m64000.hgr,0.5995864704897551
random_i2_n4000_m64000.hgr,0.5907909099243879
random_i3_n4000_m64000.hgr,0.6151528158792133
random_i4_n4000_m64000.hgr,0.6728109994817454
random_i5_n4000_m64000.hgr,0.6282535881949395
random_i6_n4000_m64000.hgr,0.5511206524861445
random_i7_n4000_m64000.hgr,0.614356532705281
random_i8_n4000_m64000.hgr,0.5321084179902076
random_i9_n4000_m64000.hgr,0.5826834032530398
AVERAGE,0.5917001496365246
