filename,n1024000_m256000__adaptiveGreedy_explore
random_i0_n1024000_m256000.hgr,39174.0
random_i10_n1024000_m256000.hgr,39115.0
random_i11_n1024000_m256000.hgr,39184.0
random_i12_n1024000_m256000.hgr,39043.0
random_i13_n1024000_m256000.hgr,39012.0
random_i14_n1024000_m256000.hgr,39048.0
random_i15_n1024000_m256000.hgr,39041.0
random_i16_n1024000_m256000.hgr,39146.0
random_i17_n1024000_m256000.hgr,39138.0
random_i18_n1024000_m256000.hgr,39132.0
random_i19_n1024000_m256000.hgr,39192.0
random_i1_n1024000_m256000.hgr,39138.0
random_i20_n1024000_m256000.hgr,39147.0
random_i21_n1024000_m256000.hgr,39200.0
random_i22_n1024000_m256000.hgr,39210.0
random_i23_n1024000_m256000.hgr,39249.0
random_i24_n1024000_m256000.hgr,39141.0
random_i25_n1024000_m256000.hgr,39043.0
random_i26_n1024000_m256000.hgr,39069.0
random_i27_n1024000_m256000.hgr,39250.0
random_i28_n1024000_m256000.hgr,39210.0
random_i29_n1024000_m256000.hgr,39170.0
random_i2_n1024000_m256000.hgr,39272.0
random_i3_n1024000_m256000.hgr,39170.0
random_i4_n1024000_m256000.hgr,39212.0
random_i5_n1024000_m256000.hgr,39279.0
random_i6_n1024000_m256000.hgr,39292.0
random_i7_n1024000_m256000.hgr,39199.0
random_i8_n1024000_m256000.hgr,39070.0
random_i9_n1024000_m256000.hgr,39106.0
AVERAGE,39155.066666666666
