filename,n64000_m64000__greedy_lsr100000x5_flat_explore
random_i0_n64000_m64000.hgr,9.824595947585061
random_i10_n64000_m64000.hgr,10.072496145681248
random_i11_n64000_m64000.hgr,8.653192438735376
random_i12_n64000_m64000.hgr,7.905625854601545
random_i13_n64000_m64000.hgr,8.360537215318251
random_i14_n64000_m64000.hgr,7.646401212274501
random_i15_n64000_m64000.hgr,7.663123353112889
random_i16_n64000_m64000.hgr,7.966262858708013
random_i17_n64000_m64000.hgr,7.885397046719975
random_i18_n64000_m64000.hgr,7.22222127790865
random_i19_n64000_m64000.hgr,8.98541585819221
random_i1_n64000_m64000.hgr,9.241550767909384
random_i20_n64000_m64000.hgr,9.748264576306015
random_i21_n64000_m64000.hgr,9.348626684836333
random_i22_n64000_m64000.hgr,9.54803886708399
random_i23_n64000_m64000.hgr,8.847711222050366
random_i24_n64000_m64000.hgr,10.237724415673723
random_i25_n64000_m64000.hgr,10.197243950466023
random_i26_n64000_m64000.hgr,9.457332362402626
random_i27_n64000_m64000.hgr,9.028235174504701
random_i28_n64000_m64000.hgr,9.346908632861322
random_i29_n64000_m64000.hgr,9.04201436947473
random_i2_n64000_m64000.hgr,8.45469975202154
random_i3_n64000_m64000.hgr,8.855297971275645
random_i4_n64000_m64000.hgr,8.411297120519219
random_i5_n64000_m64000.hgr,8.653523864348848
random_i6_n64000_m64000.hgr,8.803370833849103
random_i7_n64000_m64000.hgr,9.376087711519482
random_i8_n64000_m64000.hgr,8.393241215015642
random_i9_n64000_m64000.hgr,8.65334636794061
AVERAGE,8.8609928356299
