filename,n1024000_m256000__adaptiveGreedy_explore
random_i0_n1024000_m256000.hgr,5.525314092636108
random_i10_n1024000_m256000.hgr,5.461286783218384
random_i11_n1024000_m256000.hgr,5.597241401672363
random_i12_n1024000_m256000.hgr,5.622470378875732
random_i13_n1024000_m256000.hgr,5.534914255142212
random_i14_n1024000_m256000.hgr,5.388599157333374
random_i15_n1024000_m256000.hgr,5.4756481647491455
random_i16_n1024000_m256000.hgr,5.38937258720398
random_i17_n1024000_m256000.hgr,5.46488094329834
random_i18_n1024000_m256000.hgr,5.382041692733765
random_i19_n1024000_m256000.hgr,5.197065591812134
random_i1_n1024000_m256000.hgr,5.308594942092896
random_i20_n1024000_m256000.hgr,5.613308429718018
random_i21_n1024000_m256000.hgr,5.51498293876648
random_i22_n1024000_m256000.hgr,5.44503664970398
random_i23_n1024000_m256000.hgr,5.390795230865479
random_i24_n1024000_m256000.hgr,5.433764696121216
random_i25_n1024000_m256000.hgr,5.643470287322998
random_i26_n1024000_m256000.hgr,5.394545078277588
random_i27_n1024000_m256000.hgr,5.572036266326904
random_i28_n1024000_m256000.hgr,5.529000759124756
random_i29_n1024000_m256000.hgr,5.225951671600342
random_i2_n1024000_m256000.hgr,5.31684684753418
random_i3_n1024000_m256000.hgr,5.056063413619995
random_i4_n1024000_m256000.hgr,5.031537771224976
random_i5_n1024000_m256000.hgr,5.372480869293213
random_i6_n1024000_m256000.hgr,5.321455478668213
random_i7_n1024000_m256000.hgr,5.54595422744751
random_i8_n1024000_m256000.hgr,5.563200950622559
random_i9_n1024000_m256000.hgr,5.334962368011475
AVERAGE,5.42176079750061
