filename,n256000_m1024000__adaptiveGreedy_explore
random_i0_n256000_m1024000.hgr,13.241666316986084
random_i10_n256000_m1024000.hgr,13.04986310005188
random_i11_n256000_m1024000.hgr,13.615909337997437
random_i12_n256000_m1024000.hgr,12.662860631942747
random_i13_n256000_m1024000.hgr,13.213562488555908
random_i14_n256000_m1024000.hgr,13.18448781967163
random_i15_n256000_m1024000.hgr,13.40870475769043
random_i16_n256000_m1024000.hgr,13.085760593414308
random_i17_n256000_m1024000.hgr,13.111895322799684
random_i18_n256000_m1024000.hgr,12.90061354637146
random_i19_n256000_m1024000.hgr,13.212782621383669
random_i1_n256000_m1024000.hgr,13.267672777175903
random_i20_n256000_m1024000.hgr,13.13666844367981
random_i21_n256000_m1024000.hgr,13.092294692993164
random_i22_n256000_m1024000.hgr,13.09775686264038
random_i23_n256000_m1024000.hgr,13.180057287216188
random_i24_n256000_m1024000.hgr,13.188170909881592
random_i25_n256000_m1024000.hgr,13.044286966323853
random_i26_n256000_m1024000.hgr,13.435994625091553
random_i27_n256000_m1024000.hgr,13.34254026412964
random_i28_n256000_m1024000.hgr,13.3952476978302
random_i29_n256000_m1024000.hgr,13.075897932052612
random_i2_n256000_m1024000.hgr,13.315842390060425
random_i3_n256000_m1024000.hgr,13.620707273483276
random_i4_n256000_m1024000.hgr,13.612197637557983
random_i5_n256000_m1024000.hgr,13.140534162521362
random_i6_n256000_m1024000.hgr,13.091746807098389
random_i7_n256000_m1024000.hgr,13.195169925689695
random_i8_n256000_m1024000.hgr,13.29057765007019
random_i9_n256000_m1024000.hgr,13.083046913146973
AVERAGE,13.209817258516948
