filename,n4000_m64000__greedy_lsr10000x5_flat_explore
random_i0_n4000_m64000.hgr,0.8564516129032258
random_i10_n4000_m64000.hgr,0.8384554767533491
random_i11_n4000_m64000.hgr,0.8464662875710804
random_i12_n4000_m64000.hgr,0.8457831325301205
random_i13_n4000_m64000.hgr,0.8479299363057324
random_i14_n4000_m64000.hgr,0.846897663174859
random_i15_n4000_m64000.hgr,0.8509060955518946
random_i16_n4000_m64000.hgr,0.8408723747980614
random_i17_n4000_m64000.hgr,0.8615888615888616
random_i18_n4000_m64000.hgr,0.8497959183673469
random_i19_n4000_m64000.hgr,0.841091492776886
random_i1_n4000_m64000.hgr,0.8638228055783429
random_i20_n4000_m64000.hgr,0.8545016077170418
random_i21_n4000_m64000.hgr,0.8439024390243902
random_i22_n4000_m64000.hgr,0.8537964458804523
random_i23_n4000_m64000.hgr,0.8455284552845529
random_i24_n4000_m64000.hgr,0.8530612244897959
random_i25_n4000_m64000.hgr,0.8491484184914841
random_i26_n4000_m64000.hgr,0.8570274636510501
random_i27_n4000_m64000.hgr,0.8634840871021775
random_i28_n4000_m64000.hgr,0.8693843594009983
random_i29_n4000_m64000.hgr,0.8475957620211899
random_i2_n4000_m64000.hgr,0.8447857720291027
random_i3_n4000_m64000.hgr,0.8510466988727858
random_i4_n4000_m64000.hgr,0.8506860371267151
random_i5_n4000_m64000.hgr,0.8498789346246973
random_i6_n4000_m64000.hgr,0.8607698607698607
random_i7_n4000_m64000.hgr,0.8459657701711492
random_i8_n4000_m64000.hgr,0.8596059113300493
random_i9_n4000_m64000.hgr,0.8510808646917534
AVERAGE,0.8513770590193002
