filename,n64000_m256000__greedy_explore
random_i0_n64000_m256000.hgr,10943.0
random_i10_n64000_m256000.hgr,10834.0
random_i11_n64000_m256000.hgr,10810.0
random_i12_n64000_m256000.hgr,10831.0
random_i13_n64000_m256000.hgr,10884.0
random_i14_n64000_m256000.hgr,10752.0
random_i15_n64000_m256000.hgr,10792.0
random_i16_n64000_m256000.hgr,10829.0
random_i17_n64000_m256000.hgr,10784.0
random_i18_n64000_m256000.hgr,10893.0
random_i19_n64000_m256000.hgr,10792.0
random_i1_n64000_m256000.hgr,10859.0
random_i20_n64000_m256000.hgr,10832.0
random_i21_n64000_m256000.hgr,10847.0
random_i22_n64000_m256000.hgr,10767.0
random_i23_n64000_m256000.hgr,10799.0
random_i24_n64000_m256000.hgr,10833.0
random_i25_n64000_m256000.hgr,10809.0
random_i26_n64000_m256000.hgr,10796.0
random_i27_n64000_m256000.hgr,10870.0
random_i28_n64000_m256000.hgr,10884.0
random_i29_n64000_m256000.hgr,10745.0
random_i2_n64000_m256000.hgr,10863.0
random_i3_n64000_m256000.hgr,10800.0
random_i4_n64000_m256000.hgr,10870.0
random_i5_n64000_m256000.hgr,10834.0
random_i6_n64000_m256000.hgr,10868.0
random_i7_n64000_m256000.hgr,10778.0
random_i8_n64000_m256000.hgr,10841.0
random_i9_n64000_m256000.hgr,10810.0
AVERAGE,10828.3
