filename,n4000_m256000__greedy_explore
random_i0_n4000_m256000.hgr,1998.0
random_i10_n4000_m256000.hgr,1996.0
random_i11_n4000_m256000.hgr,1988.0
random_i12_n4000_m256000.hgr,1994.0
random_i13_n4000_m256000.hgr,1988.0
random_i14_n4000_m256000.hgr,2014.0
random_i15_n4000_m256000.hgr,1996.0
random_i16_n4000_m256000.hgr,1993.0
random_i17_n4000_m256000.hgr,2004.0
random_i18_n4000_m256000.hgr,1992.0
random_i19_n4000_m256000.hgr,2001.0
random_i1_n4000_m256000.hgr,2000.0
random_i20_n4000_m256000.hgr,1985.0
random_i21_n4000_m256000.hgr,1997.0
random_i22_n4000_m256000.hgr,1990.0
random_i23_n4000_m256000.hgr,2002.0
random_i24_n4000_m256000.hgr,2011.0
random_i25_n4000_m256000.hgr,1987.0
random_i26_n4000_m256000.hgr,1996.0
random_i27_n4000_m256000.hgr,2002.0
random_i28_n4000_m256000.hgr,1996.0
random_i29_n4000_m256000.hgr,2012.0
random_i2_n4000_m256000.hgr,1987.0
random_i3_n4000_m256000.hgr,1965.0
random_i4_n4000_m256000.hgr,2019.0
random_i5_n4000_m256000.hgr,2005.0
random_i6_n4000_m256000.hgr,1991.0
random_i7_n4000_m256000.hgr,1986.0
random_i8_n4000_m256000.hgr,2017.0
random_i9_n4000_m256000.hgr,1999.0
AVERAGE,1997.0333333333333
