filename,n1024000_m256000__greedy_lsr100000x5_flat_explore
random_i0_n1024000_m256000.hgr,37631.0
random_i10_n1024000_m256000.hgr,37686.0
random_i11_n1024000_m256000.hgr,37673.0
random_i12_n1024000_m256000.hgr,37626.0
random_i13_n1024000_m256000.hgr,37623.0
random_i14_n1024000_m256000.hgr,37561.0
random_i15_n1024000_m256000.hgr,37616.0
random_i16_n1024000_m256000.hgr,37633.0
random_i17_n1024000_m256000.hgr,37719.0
random_i18_n1024000_m256000.hgr,37616.0
random_i19_n1024000_m256000.hgr,37604.0
random_i1_n1024000_m256000.hgr,37695.0
random_i20_n1024000_m256000.hgr,37624.0
random_i21_n1024000_m256000.hgr,37689.0
random_i22_n1024000_m256000.hgr,37770.0
random_i23_n1024000_m256000.hgr,37673.0
random_i24_n1024000_m256000.hgr,37653.0
random_i25_n1024000_m256000.hgr,37595.0
random_i26_n1024000_m256000.hgr,37580.0
random_i27_n1024000_m256000.hgr,37759.0
random_i28_n1024000_m256000.hgr,37536.0
random_i29_n1024000_m256000.hgr,37677.0
random_i2_n1024000_m256000.hgr,37763.0
random_i3_n1024000_m256000.hgr,37682.0
random_i4_n1024000_m256000.hgr,37718.0
random_i5_n1024000_m256000.hgr,37778.0
random_i6_n1024000_m256000.hgr,37789.0
random_i7_n1024000_m256000.hgr,37664.0
random_i8_n1024000_m256000.hgr,37530.0
random_i9_n1024000_m256000.hgr,37610.0
AVERAGE,37659.1
