filename,n4000_m1024000__greedy_lsr100000x5_flat_explore
random_i0_n4000_m1024000.hgr,20.56734563435807
random_i10_n4000_m1024000.hgr,19.56843358682407
random_i11_n4000_m1024000.hgr,45.583550230012456
random_i12_n4000_m1024000.hgr,45.5612607024048
random_i13_n4000_m1024000.hgr,45.286411581109085
random_i14_n4000_m1024000.hgr,47.86146864167075
random_i15_n4000_m1024000.hgr,45.89398625063173
random_i16_n4000_m1024000.hgr,45.88750686992409
random_i17_n4000_m1024000.hgr,46.18365693564077
random_i18_n4000_m1024000.hgr,47.25104149019512
random_i19_n4000_m1024000.hgr,46.34328763166569
random_i1_n4000_m1024000.hgr,46.05060909249764
random_i20_n4000_m1024000.hgr,46.43622310715422
random_i21_n4000_m1024000.hgr,46.88393589170818
random_i22_n4000_m1024000.hgr,46.292345466258816
random_i23_n4000_m1024000.hgr,46.520540956729285
random_i24_n4000_m1024000.hgr,46.82216097864085
random_i25_n4000_m1024000.hgr,47.22426336384487
random_i26_n4000_m1024000.hgr,47.12993209508417
random_i27_n4000_m1024000.hgr,46.564498136864636
random_i28_n4000_m1024000.hgr,46.96340806812266
random_i29_n4000_m1024000.hgr,47.813407179502136
random_i2_n4000_m1024000.hgr,44.86082451565094
random_i3_n4000_m1024000.hgr,44.872993762492186
random_i4_n4000_m1024000.hgr,44.07619859992876
random_i5_n4000_m1024000.hgr,45.53878596613735
random_i6_n4000_m1024000.hgr,45.32224608841072
random_i7_n4000_m1024000.hgr,44.75169691095165
random_i8_n4000_m1024000.hgr,44.616007755897286
random_i9_n4000_m1024000.hgr,44.698659551614234
AVERAGE,44.31422290139758
