filename,n1024000_m256000__greedy_explore
random_i0_n1024000_m256000.hgr,40272.0
random_i10_n1024000_m256000.hgr,40246.0
random_i11_n1024000_m256000.hgr,40258.0
random_i12_n1024000_m256000.hgr,40138.0
random_i13_n1024000_m256000.hgr,40173.0
random_i14_n1024000_m256000.hgr,40114.0
random_i15_n1024000_m256000.hgr,40174.0
random_i16_n1024000_m256000.hgr,40198.0
random_i17_n1024000_m256000.hgr,40296.0
random_i18_n1024000_m256000.hgr,40140.0
random_i19_n1024000_m256000.hgr,40193.0
random_i1_n1024000_m256000.hgr,40259.0
random_i20_n1024000_m256000.hgr,40174.0
random_i21_n1024000_m256000.hgr,40260.0
random_i22_n1024000_m256000.hgr,40356.0
random_i23_n1024000_m256000.hgr,40226.0
random_i24_n1024000_m256000.hgr,40216.0
random_i25_n1024000_m256000.hgr,40154.0
random_i26_n1024000_m256000.hgr,40099.0
random_i27_n1024000_m256000.hgr,40316.0
random_i28_n1024000_m256000.hgr,40130.0
random_i29_n1024000_m256000.hgr,40197.0
random_i2_n1024000_m256000.hgr,40374.0
random_i3_n1024000_m256000.hgr,40167.0
random_i4_n1024000_m256000.hgr,40279.0
random_i5_n1024000_m256000.hgr,40311.0
random_i6_n1024000_m256000.hgr,40303.0
random_i7_n1024000_m256000.hgr,40202.0
random_i8_n1024000_m256000.hgr,40129.0
random_i9_n1024000_m256000.hgr,40102.0
AVERAGE,40215.2
