filename,n1024000_m1024000__greedy_explore
random_i0_n1024000_m1024000.hgr,86984.0
random_i10_n1024000_m1024000.hgr,86810.0
random_i11_n1024000_m1024000.hgr,87214.0
random_i12_n1024000_m1024000.hgr,87136.0
random_i13_n1024000_m1024000.hgr,87244.0
random_i14_n1024000_m1024000.hgr,86994.0
random_i15_n1024000_m1024000.hgr,87046.0
random_i16_n1024000_m1024000.hgr,86814.0
random_i17_n1024000_m1024000.hgr,86919.0
random_i18_n1024000_m1024000.hgr,86848.0
random_i19_n1024000_m1024000.hgr,87152.0
random_i1_n1024000_m1024000.hgr,86809.0
random_i20_n1024000_m1024000.hgr,86835.0
random_i21_n1024000_m1024000.hgr,86957.0
random_i22_n1024000_m1024000.hgr,87091.0
random_i23_n1024000_m1024000.hgr,86887.0
random_i24_n1024000_m1024000.hgr,86759.0
random_i25_n1024000_m1024000.hgr,86973.0
random_i26_n1024000_m1024000.hgr,86877.0
random_i27_n1024000_m1024000.hgr,87195.0
random_i28_n1024000_m1024000.hgr,86881.0
random_i29_n1024000_m1024000.hgr,86928.0
random_i2_n1024000_m1024000.hgr,86784.0
random_i3_n1024000_m1024000.hgr,86982.0
random_i4_n1024000_m1024000.hgr,86609.0
random_i5_n1024000_m1024000.hgr,86990.0
random_i6_n1024000_m1024000.hgr,86970.0
random_i7_n1024000_m1024000.hgr,86885.0
random_i8_n1024000_m1024000.hgr,86984.0
random_i9_n1024000_m1024000.hgr,86894.0
AVERAGE,86948.36666666667
