filename,n256000_m1024000__greedy_lsr100000x5_flat_explore
random_i0_n256000_m1024000.hgr,37981.0
random_i10_n256000_m1024000.hgr,37996.0
random_i11_n256000_m1024000.hgr,38068.0
random_i12_n256000_m1024000.hgr,37904.0
random_i13_n256000_m1024000.hgr,37915.0
random_i14_n256000_m1024000.hgr,37960.0
random_i15_n256000_m1024000.hgr,37928.0
random_i16_n256000_m1024000.hgr,37999.0
random_i17_n256000_m1024000.hgr,37945.0
random_i18_n256000_m1024000.hgr,38114.0
random_i19_n256000_m1024000.hgr,37936.0
random_i1_n256000_m1024000.hgr,38070.0
random_i20_n256000_m1024000.hgr,38097.0
random_i21_n256000_m1024000.hgr,37941.0
random_i22_n256000_m1024000.hgr,37917.0
random_i23_n256000_m1024000.hgr,38051.0
random_i24_n256000_m1024000.hgr,37993.0
random_i25_n256000_m1024000.hgr,37859.0
random_i26_n256000_m1024000.hgr,38153.0
random_i27_n256000_m1024000.hgr,38049.0
random_i28_n256000_m1024000.hgr,37965.0
random_i29_n256000_m1024000.hgr,37916.0
random_i2_n256000_m1024000.hgr,38085.0
random_i3_n256000_m1024000.hgr,37843.0
random_i4_n256000_m1024000.hgr,38011.0
random_i5_n256000_m1024000.hgr,37775.0
random_i6_n256000_m1024000.hgr,37961.0
random_i7_n256000_m1024000.hgr,37840.0
random_i8_n256000_m1024000.hgr,37840.0
random_i9_n256000_m1024000.hgr,37860.0
AVERAGE,37965.73333333333
