filename,n4000_m4000__adaptiveGreedy_explore
random_i0_n4000_m4000.hgr,0.6373165969083329
random_i10_n4000_m4000.hgr,0.6337449246714388
random_i11_n4000_m4000.hgr,0.6175319947720681
random_i12_n4000_m4000.hgr,0.5615808137085908
random_i13_n4000_m4000.hgr,0.6189319984146169
random_i14_n4000_m4000.hgr,0.7254758128469463
random_i15_n4000_m4000.hgr,0.5533874771168822
random_i16_n4000_m4000.hgr,0.7280075353506729
random_i17_n4000_m4000.hgr,0.9130105206043456
random_i18_n4000_m4000.hgr,0.7724928595681783
random_i19_n4000_m4000.hgr,0.7542859646607072
random_i1_n4000_m4000.hgr,0.765499097531102
random_i20_n4000_m4000.hgr,0.9572700368230194
random_i21_n4000_m4000.hgr,0.7408759124087589
random_i22_n4000_m4000.hgr,0.5783863749989758
random_i23_n4000_m4000.hgr,0.5792182850737292
random_i24_n4000_m4000.hgr,0.5865458986362708
random_i25_n4000_m4000.hgr,0.488632248899782
random_i26_n4000_m4000.hgr,0.6482916410337927
random_i27_n4000_m4000.hgr,0.6404223310453075
random_i28_n4000_m4000.hgr,0.4617246318984285
random_i29_n4000_m4000.hgr,0.5433335951790456
random_i2_n4000_m4000.hgr,0.5261120192721319
random_i3_n4000_m4000.hgr,0.7351945458516643
random_i4_n4000_m4000.hgr,0.6933640909602946
random_i5_n4000_m4000.hgr,0.9403395887340827
random_i6_n4000_m4000.hgr,0.6730144927536221
random_i7_n4000_m4000.hgr,0.4715743003442512
random_i8_n4000_m4000.hgr,0.5772519765787822
random_i9_n4000_m4000.hgr,0.7406136565648541
AVERAGE,0.6621143741070227
