filename,n256000_m1024000__adaptiveGreedy_explore
random_i0_n256000_m1024000.hgr,1.3561208142481385
random_i10_n256000_m1024000.hgr,1.0644059915833604
random_i11_n256000_m1024000.hgr,0.7628693179712009
random_i12_n256000_m1024000.hgr,0.7285695739469374
random_i13_n256000_m1024000.hgr,0.754171452782557
random_i14_n256000_m1024000.hgr,0.8696085988796622
random_i15_n256000_m1024000.hgr,0.7464843113044419
random_i16_n256000_m1024000.hgr,0.725118721656584
random_i17_n256000_m1024000.hgr,0.7128610732812204
random_i18_n256000_m1024000.hgr,0.8334975658568053
random_i19_n256000_m1024000.hgr,0.7546185066413897
random_i1_n256000_m1024000.hgr,0.7633762392715264
random_i20_n256000_m1024000.hgr,0.7585209288327328
random_i21_n256000_m1024000.hgr,0.7949690575089874
random_i22_n256000_m1024000.hgr,0.7629624232773534
random_i23_n256000_m1024000.hgr,0.774259287742992
random_i24_n256000_m1024000.hgr,0.7699116620871133
random_i25_n256000_m1024000.hgr,0.768386885838064
random_i26_n256000_m1024000.hgr,0.7769230873158399
random_i27_n256000_m1024000.hgr,0.7573380129789851
random_i28_n256000_m1024000.hgr,0.7789610258563595
random_i29_n256000_m1024000.hgr,0.7698753301017383
random_i2_n256000_m1024000.hgr,0.7641556230670676
random_i3_n256000_m1024000.hgr,0.7689279645532922
random_i4_n256000_m1024000.hgr,0.796373567063217
random_i5_n256000_m1024000.hgr,0.7321654495812353
random_i6_n256000_m1024000.hgr,0.7504968777660604
random_i7_n256000_m1024000.hgr,0.7533800451329261
random_i8_n256000_m1024000.hgr,0.7620632984445274
random_i9_n256000_m1024000.hgr,0.7585690926908737
AVERAGE,0.7956647262421064
