filename,n1024000_m1024000__greedy_lsr100000x5_flat_explore
random_i0_n1024000_m1024000.hgr,42.32434272766113
random_i10_n1024000_m1024000.hgr,44.83171224594116
random_i11_n1024000_m1024000.hgr,55.75261378288269
random_i12_n1024000_m1024000.hgr,56.05303168296814
random_i13_n1024000_m1024000.hgr,55.60444760322571
random_i14_n1024000_m1024000.hgr,54.29324555397034
random_i15_n1024000_m1024000.hgr,55.70280432701111
random_i16_n1024000_m1024000.hgr,55.50842332839966
random_i17_n1024000_m1024000.hgr,55.62451505661011
random_i18_n1024000_m1024000.hgr,53.59066104888916
random_i19_n1024000_m1024000.hgr,55.84450173377991
random_i1_n1024000_m1024000.hgr,56.23393702507019
random_i20_n1024000_m1024000.hgr,55.5012526512146
random_i21_n1024000_m1024000.hgr,54.28563690185547
random_i22_n1024000_m1024000.hgr,56.39148306846619
random_i23_n1024000_m1024000.hgr,56.62108016014099
random_i24_n1024000_m1024000.hgr,56.51977276802063
random_i25_n1024000_m1024000.hgr,55.75293922424317
random_i26_n1024000_m1024000.hgr,56.38785099983215
random_i27_n1024000_m1024000.hgr,56.44388723373413
random_i28_n1024000_m1024000.hgr,56.45983242988586
random_i29_n1024000_m1024000.hgr,56.01820230484009
random_i2_n1024000_m1024000.hgr,58.51393842697144
random_i3_n1024000_m1024000.hgr,58.425692558288574
random_i4_n1024000_m1024000.hgr,59.05125069618225
random_i5_n1024000_m1024000.hgr,58.17198586463928
random_i6_n1024000_m1024000.hgr,60.64418935775757
random_i7_n1024000_m1024000.hgr,59.68745946884155
random_i8_n1024000_m1024000.hgr,60.20144605636597
random_i9_n1024000_m1024000.hgr,60.0987868309021
AVERAGE,55.88469743728638
