filename,n64000_m64000__greedy_lsr100000x5_flat_explore
random_i0_n64000_m64000.hgr,4626.0
random_i10_n64000_m64000.hgr,4624.0
random_i11_n64000_m64000.hgr,4624.0
random_i12_n64000_m64000.hgr,4620.0
random_i13_n64000_m64000.hgr,4604.0
random_i14_n64000_m64000.hgr,4610.0
random_i15_n64000_m64000.hgr,4623.0
random_i16_n64000_m64000.hgr,4586.0
random_i17_n64000_m64000.hgr,4601.0
random_i18_n64000_m64000.hgr,4625.0
random_i19_n64000_m64000.hgr,4636.0
random_i1_n64000_m64000.hgr,4594.0
random_i20_n64000_m64000.hgr,4601.0
random_i21_n64000_m64000.hgr,4584.0
random_i22_n64000_m64000.hgr,4611.0
random_i23_n64000_m64000.hgr,4621.0
random_i24_n64000_m64000.hgr,4627.0
random_i25_n64000_m64000.hgr,4607.0
random_i26_n64000_m64000.hgr,4635.0
random_i27_n64000_m64000.hgr,4634.0
random_i28_n64000_m64000.hgr,4595.0
random_i29_n64000_m64000.hgr,4633.0
random_i2_n64000_m64000.hgr,4651.0
random_i3_n64000_m64000.hgr,4643.0
random_i4_n64000_m64000.hgr,4604.0
random_i5_n64000_m64000.hgr,4620.0
random_i6_n64000_m64000.hgr,4610.0
random_i7_n64000_m64000.hgr,4655.0
random_i8_n64000_m64000.hgr,4643.0
random_i9_n64000_m64000.hgr,4620.0
AVERAGE,4618.9
