filename,n256000_m256000__adaptiveGreedy_explore
random_i0_n256000_m256000.hgr,0.9457026046212504
random_i10_n256000_m256000.hgr,0.9442809856564913
random_i11_n256000_m256000.hgr,0.9454503570605851
random_i12_n256000_m256000.hgr,0.9444316771613733
random_i13_n256000_m256000.hgr,0.9424035443972678
random_i14_n256000_m256000.hgr,0.9436910107211582
random_i15_n256000_m256000.hgr,0.9439809296781884
random_i16_n256000_m256000.hgr,0.9438109630443742
random_i17_n256000_m256000.hgr,0.942125280667186
random_i18_n256000_m256000.hgr,0.9435183909629425
random_i19_n256000_m256000.hgr,0.9443036808402819
random_i1_n256000_m256000.hgr,0.947239885724818
random_i20_n256000_m256000.hgr,0.9436944201262498
random_i21_n256000_m256000.hgr,0.9463997416855021
random_i22_n256000_m256000.hgr,0.9412467819051121
random_i23_n256000_m256000.hgr,0.9452992238093051
random_i24_n256000_m256000.hgr,0.9450726236440522
random_i25_n256000_m256000.hgr,0.9438507600184247
random_i26_n256000_m256000.hgr,0.9433858303870701
random_i27_n256000_m256000.hgr,0.9460227272727273
random_i28_n256000_m256000.hgr,0.9464285714285714
random_i29_n256000_m256000.hgr,0.9424997709154219
random_i2_n256000_m256000.hgr,0.9463071729177265
random_i3_n256000_m256000.hgr,0.9425271489048408
random_i4_n256000_m256000.hgr,0.9456501747287107
random_i5_n256000_m256000.hgr,0.9458066890555274
random_i6_n256000_m256000.hgr,0.9475722783234196
random_i7_n256000_m256000.hgr,0.9465680419002114
random_i8_n256000_m256000.hgr,0.9457286432160804
random_i9_n256000_m256000.hgr,0.9414927842632594
AVERAGE,0.9445497565012712
