filename,n4000_m64000__greedy_explore
random_i0_n4000_m64000.hgr,0.2329633235931396
random_i10_n4000_m64000.hgr,0.2760317325592041
random_i11_n4000_m64000.hgr,0.2541415691375732
random_i12_n4000_m64000.hgr,0.2863805294036865
random_i13_n4000_m64000.hgr,0.2729465961456299
random_i14_n4000_m64000.hgr,0.2441637516021728
random_i15_n4000_m64000.hgr,0.2874360084533691
random_i16_n4000_m64000.hgr,0.2421317100524902
random_i17_n4000_m64000.hgr,0.2331523895263672
random_i18_n4000_m64000.hgr,0.2560939788818359
random_i19_n4000_m64000.hgr,0.2656726837158203
random_i1_n4000_m64000.hgr,0.2645158767700195
random_i20_n4000_m64000.hgr,0.2239806652069091
random_i21_n4000_m64000.hgr,0.2470037937164306
random_i22_n4000_m64000.hgr,0.2855818271636963
random_i23_n4000_m64000.hgr,0.2348384857177734
random_i24_n4000_m64000.hgr,0.2547907829284668
random_i25_n4000_m64000.hgr,0.2227721214294433
random_i26_n4000_m64000.hgr,0.2237100601196289
random_i27_n4000_m64000.hgr,0.2429299354553222
random_i28_n4000_m64000.hgr,0.2112488746643066
random_i29_n4000_m64000.hgr,0.2510392665863037
random_i2_n4000_m64000.hgr,0.2442777156829834
random_i3_n4000_m64000.hgr,0.2525033950805664
random_i4_n4000_m64000.hgr,0.2569024562835693
random_i5_n4000_m64000.hgr,0.233842134475708
random_i6_n4000_m64000.hgr,0.2337453365325927
random_i7_n4000_m64000.hgr,0.2420506477355957
random_i8_n4000_m64000.hgr,0.2218263149261474
random_i9_n4000_m64000.hgr,0.2349824905395507
AVERAGE,0.2477885484695434
