filename,n1024000_m64000__greedy_explore
random_i0_n1024000_m64000.hgr,1.0073499778553485
random_i10_n1024000_m64000.hgr,1.012670466924034
random_i11_n1024000_m64000.hgr,0.766713627377527
random_i12_n1024000_m64000.hgr,0.8007026885235792
random_i13_n1024000_m64000.hgr,0.8184145265715761
random_i14_n1024000_m64000.hgr,0.8050783216579935
random_i15_n1024000_m64000.hgr,0.7801119743314602
random_i16_n1024000_m64000.hgr,0.8244229969308945
random_i17_n1024000_m64000.hgr,0.7455986972294859
random_i18_n1024000_m64000.hgr,0.7766603721702406
random_i19_n1024000_m64000.hgr,0.8180375126492972
random_i1_n1024000_m64000.hgr,0.7517694858370132
random_i20_n1024000_m64000.hgr,0.8192473830119461
random_i21_n1024000_m64000.hgr,0.8189521360889238
random_i22_n1024000_m64000.hgr,0.8095556905540569
random_i23_n1024000_m64000.hgr,0.8253821386482688
random_i24_n1024000_m64000.hgr,0.7704722526853912
random_i25_n1024000_m64000.hgr,0.8198728988454758
random_i26_n1024000_m64000.hgr,0.7365744801647478
random_i27_n1024000_m64000.hgr,0.7591481512200917
random_i28_n1024000_m64000.hgr,0.7923721078856449
random_i29_n1024000_m64000.hgr,0.8256858787411522
random_i2_n1024000_m64000.hgr,0.9739541725735609
random_i3_n1024000_m64000.hgr,0.8265861345338195
random_i4_n1024000_m64000.hgr,0.8491922897606532
random_i5_n1024000_m64000.hgr,0.9246930136921335
random_i6_n1024000_m64000.hgr,0.8271229792011364
random_i7_n1024000_m64000.hgr,0.8393552585251599
random_i8_n1024000_m64000.hgr,0.8634217783077478
random_i9_n1024000_m64000.hgr,0.8951818307811779
AVERAGE,0.8294767074426512
