filename,n1024000_m256000__greedy_explore
random_i0_n1024000_m256000.hgr,5.115626335144043
random_i10_n1024000_m256000.hgr,5.52257251739502
random_i11_n1024000_m256000.hgr,5.221564292907715
random_i12_n1024000_m256000.hgr,5.341032266616821
random_i13_n1024000_m256000.hgr,5.174773931503296
random_i14_n1024000_m256000.hgr,5.596205711364746
random_i15_n1024000_m256000.hgr,5.109793186187744
random_i16_n1024000_m256000.hgr,5.366284132003784
random_i17_n1024000_m256000.hgr,5.224785327911377
random_i18_n1024000_m256000.hgr,5.338719606399536
random_i19_n1024000_m256000.hgr,5.542672634124756
random_i1_n1024000_m256000.hgr,5.361237287521362
random_i20_n1024000_m256000.hgr,5.448641061782837
random_i21_n1024000_m256000.hgr,5.139822006225586
random_i22_n1024000_m256000.hgr,5.662381410598755
random_i23_n1024000_m256000.hgr,5.311477899551392
random_i24_n1024000_m256000.hgr,5.5941314697265625
random_i25_n1024000_m256000.hgr,5.436429738998413
random_i26_n1024000_m256000.hgr,5.363915681838989
random_i27_n1024000_m256000.hgr,5.561364650726318
random_i28_n1024000_m256000.hgr,5.289101839065552
random_i29_n1024000_m256000.hgr,5.509447336196899
random_i2_n1024000_m256000.hgr,5.311834096908569
random_i3_n1024000_m256000.hgr,5.470185279846191
random_i4_n1024000_m256000.hgr,5.192463636398315
random_i5_n1024000_m256000.hgr,5.346862077713013
random_i6_n1024000_m256000.hgr,5.31480884552002
random_i7_n1024000_m256000.hgr,5.709876775741577
random_i8_n1024000_m256000.hgr,5.101450204849243
random_i9_n1024000_m256000.hgr,5.309163808822632
AVERAGE,5.366287501653035
