filename,n4000_m1024000__greedy_explore
random_i0_n4000_m1024000.hgr,2831.0
random_i10_n4000_m1024000.hgr,2804.0
random_i11_n4000_m1024000.hgr,2823.0
random_i12_n4000_m1024000.hgr,2820.0
random_i13_n4000_m1024000.hgr,2816.0
random_i14_n4000_m1024000.hgr,2815.0
random_i15_n4000_m1024000.hgr,2826.0
random_i16_n4000_m1024000.hgr,2832.0
random_i17_n4000_m1024000.hgr,2835.0
random_i18_n4000_m1024000.hgr,2814.0
random_i19_n4000_m1024000.hgr,2812.0
random_i1_n4000_m1024000.hgr,2826.0
random_i20_n4000_m1024000.hgr,2822.0
random_i21_n4000_m1024000.hgr,2806.0
random_i22_n4000_m1024000.hgr,2830.0
random_i23_n4000_m1024000.hgr,2834.0
random_i24_n4000_m1024000.hgr,2806.0
random_i25_n4000_m1024000.hgr,2815.0
random_i26_n4000_m1024000.hgr,2802.0
random_i27_n4000_m1024000.hgr,2833.0
random_i28_n4000_m1024000.hgr,2835.0
random_i29_n4000_m1024000.hgr,2786.0
random_i2_n4000_m1024000.hgr,2807.0
random_i3_n4000_m1024000.hgr,2805.0
random_i4_n4000_m1024000.hgr,2809.0
random_i5_n4000_m1024000.hgr,2808.0
random_i6_n4000_m1024000.hgr,2821.0
random_i7_n4000_m1024000.hgr,2816.0
random_i8_n4000_m1024000.hgr,2809.0
random_i9_n4000_m1024000.hgr,2804.0
AVERAGE,2816.733333333333
