filename,n1024000_m1024000__greedy_explore
random_i0_n1024000_m1024000.hgr,0.7049654660505047
random_i10_n1024000_m1024000.hgr,0.7010873407627625
random_i11_n1024000_m1024000.hgr,0.5811456032173978
random_i12_n1024000_m1024000.hgr,0.5685226305807312
random_i13_n1024000_m1024000.hgr,0.5700911072132065
random_i14_n1024000_m1024000.hgr,0.5734475037574358
random_i15_n1024000_m1024000.hgr,0.584154144515319
random_i16_n1024000_m1024000.hgr,0.5800713295999905
random_i17_n1024000_m1024000.hgr,0.5725719347572759
random_i18_n1024000_m1024000.hgr,0.5736082064455983
random_i19_n1024000_m1024000.hgr,0.5807963427546643
random_i1_n1024000_m1024000.hgr,0.5763957334967172
random_i20_n1024000_m1024000.hgr,0.5810024280678346
random_i21_n1024000_m1024000.hgr,0.5820562505329355
random_i22_n1024000_m1024000.hgr,0.579489162133292
random_i23_n1024000_m1024000.hgr,0.5790267023598573
random_i24_n1024000_m1024000.hgr,0.5545238936891799
random_i25_n1024000_m1024000.hgr,0.6158180700668343
random_i26_n1024000_m1024000.hgr,0.6000008207893769
random_i27_n1024000_m1024000.hgr,0.6131669292835554
random_i28_n1024000_m1024000.hgr,0.6320270103829188
random_i29_n1024000_m1024000.hgr,0.5703302108891309
random_i2_n1024000_m1024000.hgr,0.5889647482994308
random_i3_n1024000_m1024000.hgr,0.5617899617796966
random_i4_n1024000_m1024000.hgr,0.5549092318723814
random_i5_n1024000_m1024000.hgr,0.5610658517770443
random_i6_n1024000_m1024000.hgr,0.5927237398872202
random_i7_n1024000_m1024000.hgr,0.5936334484923508
random_i8_n1024000_m1024000.hgr,0.5758871133045196
random_i9_n1024000_m1024000.hgr,0.6939025941113169
AVERAGE,0.5932391836956827
