filename,adaptiveGreedy___hse
exact_001.hgr,0.0328233242034912
exact_002.hgr,0.0315620899200439
exact_003.hgr,0.0444037914276123
exact_004.hgr,0.0612375736236572
exact_005.hgr,0.0609257221221923
exact_006.hgr,0.059593915939331
exact_007.hgr,0.0558376312255859
exact_008.hgr,0.0574655532836914
exact_009.hgr,0.0536122322082519
exact_010.hgr,0.0615537166595459
exact_011.hgr,0.0617551803588867
exact_012.hgr,0.0677037239074707
exact_013.hgr,0.0638520717620849
exact_014.hgr,0.0608026981353759
exact_015.hgr,0.0623788833618164
exact_016.hgr,0.0615074634552001
exact_017.hgr,0.0590689182281494
exact_018.hgr,0.0638055801391601
exact_019.hgr,0.060392141342163
exact_020.hgr,0.1216018199920654
exact_021.hgr,0.1756260395050048
exact_022.hgr,0.1575095653533935
exact_023.hgr,0.0712523460388183
exact_024.hgr,0.0770378112792968
exact_025.hgr,0.0751018524169921
exact_026.hgr,0.069542646408081
exact_027.hgr,0.0377705097198486
exact_028.hgr,0.0895049571990966
exact_029.hgr,0.0432851314544677
exact_030.hgr,0.095654010772705
exact_031.hgr,0.0634243488311767
exact_032.hgr,0.0630557537078857
exact_033.hgr,0.0580384731292724
exact_034.hgr,0.0590584278106689
exact_035.hgr,0.0593400001525878
exact_036.hgr,0.0585939884185791
exact_037.hgr,0.0571262836456298
exact_038.hgr,0.0239553451538085
exact_039.hgr,0.078052282333374
exact_040.hgr,0.0605397224426269
exact_041.hgr,0.0586891174316406
exact_042.hgr,0.0544824600219726
exact_043.hgr,0.0547666549682617
exact_044.hgr,0.0553176403045654
exact_045.hgr,0.0584340095520019
exact_046.hgr,0.0605518817901611
exact_047.hgr,0.0597009658813476
exact_048.hgr,0.0535402297973632
exact_049.hgr,0.0530765056610107
exact_050.hgr,0.0499093532562255
exact_051.hgr,0.0997116565704345
exact_052.hgr,0.0824799537658691
exact_053.hgr,0.056020975112915
exact_054.hgr,0.0557785034179687
exact_055.hgr,0.0512640476226806
exact_056.hgr,0.0902466773986816
exact_057.hgr,0.0282020568847656
exact_058.hgr,0.0870442390441894
exact_059.hgr,0.0510079860687255
exact_060.hgr,0.0465362071990966
exact_061.hgr,0.0495626926422119
exact_062.hgr,0.0518772602081298
exact_063.hgr,0.0511794090270996
exact_064.hgr,0.0477058887481689
exact_065.hgr,0.0474007129669189
exact_066.hgr,0.0469985008239746
exact_067.hgr,0.0492002964019775
exact_068.hgr,0.0507686138153076
exact_069.hgr,0.0541365146636962
exact_070.hgr,0.0529913902282714
exact_071.hgr,0.0512182712554931
exact_072.hgr,0.0483124256134033
exact_073.hgr,0.0495069026947021
exact_074.hgr,0.0497574806213378
exact_075.hgr,0.0525293350219726
exact_076.hgr,0.051938772201538
exact_077.hgr,0.0536146163940429
exact_078.hgr,0.0503146648406982
exact_079.hgr,0.0489506721496582
exact_080.hgr,0.0503828525543212
exact_081.hgr,0.0506656169891357
exact_082.hgr,0.0495030879974365
exact_083.hgr,0.0476241111755371
exact_084.hgr,0.0482845306396484
exact_085.hgr,0.0495269298553466
exact_086.hgr,0.0539710521697998
exact_087.hgr,0.0545041561126709
exact_088.hgr,0.0569484233856201
exact_089.hgr,0.0575089454650878
exact_090.hgr,0.0582051277160644
exact_091.hgr,0.0539114475250244
exact_092.hgr,0.0497994422912597
exact_093.hgr,0.0490241050720214
exact_094.hgr,0.0518341064453125
exact_095.hgr,0.0514943599700927
exact_096.hgr,0.0493152141571044
exact_097.hgr,0.0810194015502929
exact_098.hgr,0.0507748126983642
exact_099.hgr,0.0919141769409179
exact_100.hgr,0.1153879165649414
AVERAGE,0.0606167888641357
