filename,n256000_m1024000__adaptiveGreedy_explore
random_i0_n256000_m1024000.hgr,40131.0
random_i10_n256000_m1024000.hgr,40081.0
random_i11_n256000_m1024000.hgr,40214.0
random_i12_n256000_m1024000.hgr,40012.0
random_i13_n256000_m1024000.hgr,40089.0
random_i14_n256000_m1024000.hgr,40127.0
random_i15_n256000_m1024000.hgr,40046.0
random_i16_n256000_m1024000.hgr,40041.0
random_i17_n256000_m1024000.hgr,40151.0
random_i18_n256000_m1024000.hgr,40169.0
random_i19_n256000_m1024000.hgr,40077.0
random_i1_n256000_m1024000.hgr,40211.0
random_i20_n256000_m1024000.hgr,40125.0
random_i21_n256000_m1024000.hgr,40036.0
random_i22_n256000_m1024000.hgr,40068.0
random_i23_n256000_m1024000.hgr,40185.0
random_i24_n256000_m1024000.hgr,40170.0
random_i25_n256000_m1024000.hgr,40110.0
random_i26_n256000_m1024000.hgr,40202.0
random_i27_n256000_m1024000.hgr,40109.0
random_i28_n256000_m1024000.hgr,40074.0
random_i29_n256000_m1024000.hgr,40072.0
random_i2_n256000_m1024000.hgr,40251.0
random_i3_n256000_m1024000.hgr,39983.0
random_i4_n256000_m1024000.hgr,40049.0
random_i5_n256000_m1024000.hgr,39949.0
random_i6_n256000_m1024000.hgr,40155.0
random_i7_n256000_m1024000.hgr,39930.0
random_i8_n256000_m1024000.hgr,40063.0
random_i9_n256000_m1024000.hgr,40022.0
AVERAGE,40096.73333333333
