filename,greedy__generated_nm5degm250,adaptiveGreedy__generated_nm5degm250
250000_0000.hgr,6.541392087936401,6.3762500286102295
250000_0001.hgr,6.631078720092773,7.604331254959106
250000_0002.hgr,7.6983420848846436,9.584024429321287
250000_0003.hgr,7.811330556869507,10.008648872375488
250000_0004.hgr,7.743153095245361,9.846500158309937
250000_0005.hgr,7.634419918060303,10.0534987449646
250000_0006.hgr,7.952447891235352,10.752957344055176
250000_0007.hgr,7.313694953918457,10.62706184387207
250000_0008.hgr,6.293652057647705,10.392963409423828
250000_0009.hgr,6.43392539024353,10.120213985443115
250000_0010.hgr,7.665178060531616,10.881986141204834
250000_0011.hgr,7.359492063522339,11.116660594940186
250000_0012.hgr,7.674144983291626,10.599469900131226
250000_0013.hgr,7.252814292907715,10.1205632686615
250000_0014.hgr,7.67943549156189,9.766136884689333
250000_0015.hgr,7.787816762924194,10.776533126831056
250000_0016.hgr,6.129315376281738,10.75187087059021
250000_0017.hgr,6.307443857192993,10.633134365081789
250000_0018.hgr,7.459987640380859,11.879539728164673
250000_0019.hgr,7.940222263336182,11.992613792419434
250000_0020.hgr,7.443734884262085,11.736372709274292
250000_0021.hgr,7.738851308822632,11.332167148590088
250000_0022.hgr,7.38473105430603,10.506348609924316
250000_0023.hgr,7.48552680015564,10.389920711517334
250000_0024.hgr,5.9503867626190186,10.35746455192566
250000_0025.hgr,6.1953229904174805,10.22645664215088
250000_0026.hgr,7.41880464553833,11.08508849143982
250000_0027.hgr,7.428708076477051,10.846594333648682
250000_0028.hgr,7.507949590682983,10.815112113952637
250000_0029.hgr,8.2721529006958,10.549874544143677
250000_0030.hgr,7.611093997955322,10.307783842086792
250000_0031.hgr,7.741970777511597,9.546781778335571
250000_0032.hgr,6.9455859661102295,9.607798099517822
250000_0033.hgr,6.984405040740967,9.34508180618286
250000_0034.hgr,7.497209548950195,10.55008625984192
250000_0035.hgr,7.545130252838135,10.812607765197754
250000_0036.hgr,7.500699758529663,11.35050916671753
250000_0037.hgr,7.523056983947754,11.04725456237793
250000_0038.hgr,7.090598106384277,10.985584259033203
250000_0039.hgr,7.16918158531189,10.200525999069214
250000_0040.hgr,7.081752061843872,9.630792140960692
250000_0041.hgr,6.927608966827393,9.287468910217283
250000_0042.hgr,8.590410947799683,10.51727819442749
250000_0043.hgr,8.746032953262329,11.509273290634155
250000_0044.hgr,8.505355834960938,11.59691858291626
250000_0045.hgr,9.160850048065186,11.2070415019989
250000_0046.hgr,9.140751361846924,9.748729467391968
250000_0047.hgr,9.112191677093506,11.10246443748474
250000_0048.hgr,8.797213792800903,10.96530270576477
250000_0049.hgr,8.906919002532959,11.464274406433104
AVERAGE,7.534269504547119,10.450278315544129
