filename,adaptivegreedy___hs_exact,adaptivegreedy_ku__hs_exact,adaptivegreedy_kv__hs_exact,adaptivegreedy_ku_kv__hs_exact,adaptivegreedy_ke__hs_exact,adaptivegreedy_ku_ke__hs_exact,adaptivegreedy_kv_ke__hs_exact,adaptivegreedy_ku_kv_ke__hs_exact,greedy___hs_exact,greedy_ku__hs_exact,greedy_kv__hs_exact,greedy_ku_kv__hs_exact,greedy_ke__hs_exact,greedy_ku_ke__hs_exact,greedy_kv_ke__hs_exact,greedy_ku_kv_ke__hs_exact
exact_072.hgr,1197.0,1197.0,1192.0,1186.0,1131.0,1131.0,1103.0,1102.0,1213.0,1213.0,1211.0,1191.0,1151.0,1151.0,1123.0,1123.0
exact_073.hgr,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0
exact_074.hgr,142.0,142.0,141.0,140.0,28.0,28.0,28.0,28.0,142.0,142.0,142.0,142.0,29.0,29.0,29.0,29.0
exact_075.hgr,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0
exact_076.hgr,143.0,143.0,143.0,143.0,27.0,27.0,27.0,27.0,147.0,147.0,147.0,147.0,28.0,28.0,28.0,28.0
exact_077.hgr,242.0,242.0,242.0,242.0,242.0,242.0,241.0,241.0,245.0,245.0,245.0,245.0,245.0,245.0,244.0,244.0
exact_078.hgr,1422.0,1422.0,1414.0,1399.0,1338.0,1338.0,1300.0,1291.0,1444.0,1444.0,1451.0,1420.0,1357.0,1357.0,1319.0,1319.0
exact_079.hgr,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0
exact_080.hgr,241.0,241.0,241.0,241.0,241.0,241.0,239.0,239.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
exact_081.hgr,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0
exact_082.hgr,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
exact_083.hgr,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0
exact_084.hgr,550.0,550.0,548.0,545.0,545.0,545.0,541.0,540.0,559.0,559.0,557.0,549.0,551.0,551.0,548.0,548.0
exact_085.hgr,241.0,241.0,241.0,241.0,241.0,241.0,240.0,240.0,243.0,243.0,243.0,243.0,243.0,243.0,244.0,244.0
exact_086.hgr,1757.0,1757.0,1745.0,1715.0,1645.0,1645.0,1606.0,1594.0,1781.0,1781.0,1775.0,1742.0,1674.0,1674.0,1633.0,1633.0
exact_087.hgr,147.0,147.0,147.0,147.0,27.0,27.0,27.0,27.0,148.0,148.0,148.0,148.0,28.0,28.0,28.0,28.0
exact_088.hgr,1428.0,1428.0,1421.0,1403.0,1341.0,1341.0,1298.0,1286.0,1458.0,1458.0,1458.0,1428.0,1364.0,1364.0,1313.0,1313.0
exact_089.hgr,1356.0,1356.0,1351.0,1316.0,1288.0,1288.0,1249.0,1230.0,1380.0,1380.0,1379.0,1344.0,1306.0,1306.0,1262.0,1262.0
exact_090.hgr,484.0,484.0,485.0,476.0,464.0,464.0,454.0,453.0,498.0,498.0,496.0,487.0,475.0,475.0,464.0,464.0
exact_091.hgr,2324.0,2324.0,2309.0,2256.0,2121.0,2121.0,2048.0,2026.0,2371.0,2371.0,2369.0,2310.0,2155.0,2155.0,2084.0,2084.0
exact_092.hgr,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
exact_093.hgr,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0
exact_094.hgr,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0
exact_095.hgr,245.0,245.0,245.0,245.0,245.0,245.0,242.0,242.0,244.0,244.0,244.0,244.0,244.0,244.0,245.0,245.0
exact_096.hgr,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
exact_097.hgr,141.0,141.0,141.0,141.0,28.0,28.0,28.0,28.0,143.0,143.0,143.0,143.0,29.0,29.0,29.0,29.0
exact_098.hgr,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0
exact_099.hgr,237.0,237.0,237.0,237.0,237.0,237.0,242.0,242.0,241.0,241.0,241.0,247.0,241.0,241.0,240.0,240.0
exact_100.hgr,135.0,135.0,135.0,135.0,30.0,30.0,30.0,30.0,140.0,140.0,140.0,140.0,33.0,33.0,33.0,33.0
AVERAGE,637.8,637.8,636.0,629.2,577.62,577.62,565.6,563.09,648.13,648.13,648.38,638.58,586.43,586.43,573.97,573.98
