filename,adaptivegreedy___hs_exact,adaptivegreedy_ku__hs_exact,adaptivegreedy_kv__hs_exact,adaptivegreedy_ku_kv__hs_exact,adaptivegreedy_ke__hs_exact,adaptivegreedy_ku_ke__hs_exact,adaptivegreedy_kv_ke__hs_exact,adaptivegreedy_ku_kv_ke__hs_exact,greedy___hs_exact,greedy_ku__hs_exact,greedy_kv__hs_exact,greedy_ku_kv__hs_exact,greedy_ke__hs_exact,greedy_ku_ke__hs_exact,greedy_kv_ke__hs_exact,greedy_ku_kv_ke__hs_exact
exact_001.hgr,0.024301528930664,0.0167281627655029,0.0349750518798828,0.0245821475982666,0.0320100784301757,0.0285873413085937,0.051490306854248,0.0506138801574707,0.0182011127471923,0.0179626941680908,0.0208997726440429,0.0214323997497558,0.0329921245574951,0.0553328990936279,0.0305988788604736,0.052333116531372
exact_002.hgr,0.0251524448394775,0.0156614780426025,0.0348415374755859,0.0248098373413085,0.0456979274749755,0.035752534866333,0.0294427871704101,0.0287127494812011,0.019169807434082,0.0166411399841308,0.0299837589263916,0.041710615158081,0.0323178768157959,0.0699911117553711,0.0299508571624755,0.0690689086914062
exact_003.hgr,0.0372085571289062,0.0174436569213867,0.0424301624298095,0.0379111766815185,0.0486249923706054,0.0335924625396728,0.0559999942779541,0.0324139595031738,0.0256240367889404,0.0163323879241943,0.0381088256835937,0.0429399013519287,0.0427539348602294,0.0932378768920898,0.0422642230987548,0.0486290454864501
exact_004.hgr,0.0244727134704589,0.0220508575439453,0.1389956474304199,0.103950023651123,0.100703477859497,0.1443855762481689,0.2252182960510254,0.2027695178985595,0.0267260074615478,0.0186359882354736,0.1276102066040039,0.1349060535430908,0.107051134109497,0.1979656219482422,0.2263267040252685,0.2408041954040527
exact_005.hgr,0.0345370769500732,0.0373675823211669,0.0829510688781738,0.0609304904937744,0.2358653545379638,0.2418165206909179,0.2518942356109619,0.2691233158111572,0.0410044193267822,0.0365664958953857,0.053896427154541,0.0673482418060302,0.2644083499908447,0.3133566379547119,0.2757141590118408,0.3248510360717773
exact_006.hgr,0.0392627716064453,0.0321524143218994,0.0587568283081054,0.032273530960083,0.0417661666870117,0.0329558849334716,0.0532009601593017,0.0549509525299072,0.0356028079986572,0.0309047698974609,0.0375206470489501,0.043304443359375,0.0310914516448974,0.0395121574401855,0.0431604385375976,0.0414628982543945
exact_007.hgr,0.0436937808990478,0.0306799411773681,0.0240962505340576,0.0332188606262207,0.0353953838348388,0.0475094318389892,0.0303914546966552,0.0317704677581787,0.0311024188995361,0.0201349258422851,0.024233341217041,0.0344552993774414,0.0217037200927734,0.14186692237854,0.0201437473297119,0.0366842746734619
exact_008.hgr,0.0377914905548095,0.0244629383087158,0.0463461875915527,0.0354855060577392,0.0812954902648925,0.0734326839447021,0.0534915924072265,0.046072244644165,0.0257642269134521,0.0351998805999755,0.029850959777832,0.0465648174285888,0.0701715946197509,0.0308923721313476,0.0981581211090087,0.0708656311035156
exact_009.hgr,0.0678532123565673,0.0427556037902832,0.1449215412139892,0.1147472858428955,0.5351088047027588,0.4949014186859131,0.5377957820892334,0.540492057800293,0.0454142093658447,0.0566909313201904,0.1327846050262451,0.1375861167907714,0.509533166885376,0.5633378028869629,0.557755708694458,0.6868557929992676
exact_010.hgr,0.0713074207305908,0.0429968833923339,0.1142261028289794,0.1009619235992431,0.3638091087341308,0.3981790542602539,0.427617073059082,0.4539082050323486,0.0483520030975341,0.0529146194458007,0.1047306060791015,0.1438353061676025,0.4014265537261963,0.4327127933502197,0.4341850280761719,0.5556824207305908
exact_011.hgr,0.0694735050201416,0.0426368713378906,0.0405962467193603,0.0463411808013916,0.0377285480499267,0.0893795490264892,0.0986969470977783,0.0525047779083251,0.04838228225708,0.0493781566619873,0.0521678924560546,0.0502517223358154,0.0897305011749267,0.025238037109375,0.0414485931396484,0.0895330905914306
exact_012.hgr,0.0381977558135986,0.0325772762298584,0.0506899356842041,0.0476069450378418,0.0686581134796142,0.0493693351745605,0.0778131484985351,0.0675303936004638,0.0345613956451416,0.0318939685821533,0.0318439006805419,0.0267741680145263,0.0260591506958007,0.0277619361877441,0.0873045921325683,0.0710535049438476
exact_013.hgr,0.0668659210205078,0.0226666927337646,0.0444746017456054,0.0293681621551513,0.0819878578186035,0.0373110771179199,0.0860633850097656,0.0956766605377197,0.0248119831085205,0.0240345001220703,0.0738797187805175,0.0414285659790039,0.0653219223022461,0.0382983684539794,0.1033933162689209,0.1552262306213379
exact_014.hgr,0.0802111625671386,0.0516963005065918,0.0799751281738281,0.1344068050384521,0.315349817276001,0.3073203563690185,0.3411598205566406,0.3688356876373291,0.0565114021301269,0.0579967498779296,0.1520423889160156,0.0805714130401611,0.2504112720489502,0.2719440460205078,0.325512170791626,0.4502713680267334
exact_015.hgr,0.054239273071289,0.0310416221618652,0.1574928760528564,0.1527445316314697,0.1480188369750976,0.1243853569030761,0.21427583694458,0.2288808822631836,0.03468918800354,0.0322074890136718,0.1664021015167236,0.2158942222595214,0.1199800968170166,0.1333122253417968,0.2147502899169922,0.2665529251098633
exact_016.hgr,0.0476090908050537,0.025219440460205,0.0388605594635009,0.0304312705993652,0.0886082649230957,0.0357558727264404,0.0649435520172119,0.0376665592193603,0.019472599029541,0.0393550395965576,0.0380661487579345,0.047020673751831,0.0245819091796875,0.0288703441619873,0.0341269969940185,0.0487921237945556
exact_017.hgr,0.0576949119567871,0.0652563571929931,0.1158523559570312,0.1341288089752197,0.5386974811553955,0.5005204677581787,0.6334843635559082,0.655604362487793,0.0608603954315185,0.07381272315979,0.1486248970031738,0.1471428871154785,0.5100126266479492,0.6621780395507812,0.5947537422180176,0.8221609592437744
exact_018.hgr,0.0246970653533935,0.0336165428161621,0.040147066116333,0.0382921695709228,0.0733876228332519,0.0338156223297119,0.0511016845703125,0.0438957214355468,0.0267641544342041,0.0444104671478271,0.0451059341430664,0.0655131340026855,0.0505638122558593,0.0494155883789062,0.0528349876403808,0.0770022869110107
exact_019.hgr,0.0389909744262695,0.0295681953430175,0.0616407394409179,0.031524658203125,0.0445978641510009,0.0513026714324951,0.0518536567687988,0.0774545669555664,0.0225393772125244,0.0439176559448242,0.117976427078247,0.0341453552246093,0.0544252395629882,0.0456814765930175,0.0991604328155517,0.0513935089111328
exact_020.hgr,0.0611257553100585,0.0668325424194336,0.1238765716552734,0.1276719570159912,0.5181293487548828,0.588404655456543,0.6939680576324463,0.5895259380340576,0.0563714504241943,0.0385522842407226,0.1249520778656005,0.1155276298522949,0.521491527557373,0.6043970584869385,0.633577823638916,0.7624733448028564
exact_021.hgr,0.0520617961883544,0.051882266998291,0.057513952255249,0.0517609119415283,0.3531160354614258,0.208796739578247,0.3036198616027832,0.2450377941131591,0.0424780845642089,0.0763194561004638,0.0918753147125244,0.0406291484832763,0.3199450969696045,0.211890697479248,0.2372677326202392,0.3638980388641357
exact_022.hgr,0.0411550998687744,0.0652990341186523,0.1000556945800781,0.1361386775970459,0.5674018859863281,0.5718221664428711,0.6037135124206543,0.5669956207275391,0.0364396572113037,0.090358018875122,0.1524868011474609,0.1468236446380615,0.484135627746582,0.6335043907165527,0.5610129833221436,0.8239524364471436
exact_023.hgr,0.0294053554534912,0.0505237579345703,0.0713834762573242,0.1071853637695312,0.1819441318511963,0.152292251586914,0.2276475429534912,0.2058744430541992,0.0376067161560058,0.0741374492645263,0.0834693908691406,0.0944240093231201,0.1892533302307129,0.1511163711547851,0.2063848972320556,0.2542965412139892
exact_024.hgr,0.0461130142211914,0.0309231281280517,0.0289466381072998,0.0457663536071777,0.0494868755340576,0.0773158073425293,0.0497851371765136,0.0547318458557128,0.0219647884368896,0.0541467666625976,0.056222915649414,0.0352609157562255,0.0273900032043457,0.0398204326629638,0.102790355682373,0.1182165145874023
exact_025.hgr,0.0319502353668212,0.0519204139709472,0.0286993980407714,0.037182331085205,0.0325336456298828,0.0779304504394531,0.0334753990173339,0.0567700862884521,0.0336148738861084,0.0672895908355712,0.0297439098358154,0.0245442390441894,0.0647189617156982,0.0361278057098388,0.0917167663574218,0.0586128234863281
exact_026.hgr,0.0474154949188232,0.0472595691680908,0.1641469001770019,0.128918170928955,0.7878808975219727,0.7242851257324219,0.8109428882598877,0.8464407920837402,0.0467848777770996,0.0531086921691894,0.2563545703887939,0.1483042240142822,0.6895132064819336,0.7414085865020752,0.7583541870117188,1.039710521697998
exact_027.hgr,0.0402069091796875,0.039233922958374,0.0265185832977294,0.0401999950408935,0.0270962715148925,0.0735547542572021,0.0364770889282226,0.0596511363983154,0.0331342220306396,0.0661594867706298,0.0363233089447021,0.0385117530822753,0.0479490756988525,0.0337955951690673,0.0396842956542968,0.0520546436309814
exact_028.hgr,0.0387475490570068,0.0291237831115722,0.0635013580322265,0.0966858863830566,0.1674189567565918,0.1329569816589355,0.1611058712005615,0.1697626113891601,0.0255627632141113,0.0245039463043212,0.0821843147277832,0.0496706962585449,0.134946584701538,0.1365923881530761,0.1367988586425781,0.2195937633514404
exact_029.hgr,0.0349588394165039,0.0193262100219726,0.0197412967681884,0.0207650661468505,0.0664329528808593,0.0421390533447265,0.0456397533416748,0.0389893054962158,0.01513671875,0.0166060924530029,0.0535418987274169,0.0212101936340332,0.0251727104187011,0.0232644081115722,0.0734059810638427,0.0296847820281982
exact_030.hgr,0.0510640144348144,0.0540165901184082,0.0873119831085205,0.0993793010711669,0.3438611030578613,0.3244392871856689,0.326641321182251,0.3242690563201904,0.0524384975433349,0.0687644481658935,0.0776455402374267,0.0996932983398437,0.3344125747680664,0.2470307350158691,0.3569405078887939,0.3825812339782715
exact_031.hgr,0.0300648212432861,0.0331275463104248,0.036219835281372,0.0257668495178222,0.0476055145263671,0.0461318492889404,0.0419566631317138,0.0627129077911377,0.020963430404663,0.0237724781036376,0.0454685688018798,0.0352492332458496,0.0368144512176513,0.0261902809143066,0.0664234161376953,0.0362207889556884
exact_032.hgr,0.0464313030242919,0.0531184673309326,0.0303468704223632,0.0346946716308593,0.0336122512817382,0.0431060791015625,0.0298361778259277,0.0631442070007324,0.0185608863830566,0.0181617736816406,0.0328781604766845,0.0297605991363525,0.0301096439361572,0.0278067588806152,0.0751960277557373,0.0894584655761718
exact_033.hgr,0.0277612209320068,0.0330634117126464,0.1498632431030273,0.2040140628814697,0.1150884628295898,0.1276431083679199,0.2573564052581787,0.2794411182403564,0.0462965965270996,0.0456771850585937,0.1938321590423584,0.1811470985412597,0.134880781173706,0.1354238986968994,0.2401876449584961,0.3409557342529297
exact_034.hgr,0.0267004966735839,0.0476665496826171,0.0516667366027832,0.09130859375,0.0585942268371582,0.0290324687957763,0.0377523899078369,0.0389704704284668,0.0263605117797851,0.0147593021392822,0.0338184833526611,0.0277132987976074,0.0423221588134765,0.0652558803558349,0.1085724830627441,0.0564064979553222
exact_035.hgr,0.0558063983917236,0.0418963432312011,0.1338369846343994,0.1347665786743164,0.1230480670928955,0.0786504745483398,0.1951889991760254,0.2057406902313232,0.0186982154846191,0.0329229831695556,0.1482517719268798,0.1289563179016113,0.1626729965209961,0.0997471809387207,0.1713192462921142,0.1782631874084472
exact_036.hgr,0.0247266292572021,0.0560822486877441,0.02787446975708,0.0316503047943115,0.0350327491760253,0.1186506748199462,0.0752606391906738,0.0328071117401123,0.0479271411895751,0.0512442588806152,0.0331149101257324,0.0262343883514404,0.1163198947906494,0.0231378078460693,0.0703368186950683,0.0444612503051757
exact_037.hgr,0.0405573844909668,0.0277972221374511,0.0774807929992675,0.0902225971221923,0.1397798061370849,0.171149730682373,0.1754801273345947,0.1915643215179443,0.0281486511230468,0.0325956344604492,0.1079287528991699,0.0713870525360107,0.1868646144866943,0.1612136363983154,0.3167173862457275,0.2991559505462646
exact_038.hgr,0.0300400257110595,0.0459260940551757,0.0271418094635009,0.023693561553955,0.0416252613067626,0.0398485660552978,0.0946753025054931,0.0785365104675293,0.0420854091644287,0.0262513160705566,0.0308022499084472,0.0527725219726562,0.0437142848968505,0.0457849502563476,0.0431907176971435,0.0814504623413086
exact_039.hgr,0.0663447380065918,0.0315947532653808,0.0784733295440673,0.0655984878540039,0.1981902122497558,0.1825027465820312,0.2497673034667968,0.2370655536651611,0.0253658294677734,0.0509452819824218,0.0843429565429687,0.0952024459838867,0.2239966392517089,0.2002866268157959,0.233039379119873,0.2586407661437988
exact_040.hgr,0.0591673851013183,0.0697197914123535,0.0991148948669433,0.1413280963897705,0.4726555347442627,0.5553944110870361,0.6508638858795166,0.6104204654693604,0.0409696102142334,0.0440201759338378,0.1077277660369873,0.1267457008361816,0.54180908203125,0.5271639823913574,0.6078824996948242,0.810164213180542
exact_041.hgr,0.0309758186340332,0.0630743503570556,0.1134755611419677,0.1407432556152343,0.0822060108184814,0.0686845779418945,0.2331714630126953,0.2178905010223388,0.0284197330474853,0.0378124713897705,0.1586966514587402,0.140542984008789,0.1151483058929443,0.1032016277313232,0.1872680187225341,0.3296871185302734
exact_042.hgr,0.0235769748687744,0.0357272624969482,0.0250701904296875,0.025641918182373,0.0381314754486084,0.0275194644927978,0.0499203205108642,0.0305681228637695,0.0194847583770751,0.0274844169616699,0.0685367584228515,0.0471494197845459,0.0309598445892334,0.0453343391418457,0.042203664779663,0.0390386581420898
exact_043.hgr,0.0625510215759277,0.0285074710845947,0.0241057872772216,0.0439503192901611,0.0270204544067382,0.0241835117340087,0.1140644550323486,0.0709924697875976,0.0438454151153564,0.0201282501220703,0.0271050930023193,0.0368714332580566,0.0527513027191162,0.0596804618835449,0.1059024333953857,0.1000277996063232
exact_044.hgr,0.0358147621154785,0.0618455410003662,0.0448236465454101,0.096149206161499,0.0927503108978271,0.0883586406707763,0.106396198272705,0.1141772270202636,0.0286366939544677,0.0466420650482177,0.051671028137207,0.0899841785430908,0.0955784320831298,0.0988333225250244,0.1084275245666503,0.1373922824859619
exact_045.hgr,0.0551941394805908,0.0408353805541992,0.0865988731384277,0.084428071975708,0.2118840217590332,0.1979992389678955,0.3900740146636963,0.2568950653076172,0.0477752685546875,0.0279157161712646,0.1121625900268554,0.1516909599304199,0.2329134941101074,0.2213644981384277,0.2590324878692627,0.3507485389709472
exact_046.hgr,0.0457243919372558,0.0367088317871093,0.048232078552246,0.050546646118164,0.0374555587768554,0.0939705371856689,0.046006441116333,0.0369377136230468,0.0168402194976806,0.042421817779541,0.0443456172943115,0.115281343460083,0.0519914627075195,0.0824706554412841,0.0447626113891601,0.0541889667510986
