filename,greedy___hse,greedy_ku__hse,greedy_kv__hse,greedy_ku_kv__hse,greedy_ke__hse,greedy_ku_ke__hse,greedy_kv_ke__hse,greedy_ku_kv_ke__hse,adaptivegreedy___hse,adaptivegreedy_ku__hse,adaptivegreedy_kv__hse,adaptivegreedy_ku_kv__hse,adaptivegreedy_ke__hse,adaptivegreedy_ku_ke__hse,adaptivegreedy_kv_ke__hse,adaptivegreedy_ku_kv_ke__hse,vc___hse,vc_ku__hse,vc_kv__hse,vc_ku_kv__hse,vc_ke__hse,vc_ku_ke__hse,vc_kv_ke__hse,vc_ku_kv_ke__hse
exact_049.hgr,0.4706580638885498,0.4759225845336914,0.5213229656219482,0.5592083930969238,0.7608301639556885,0.9429714679718018,1.2014093399047852,0.8538649082183838,0.0478043556213378,0.032304048538208,0.1820976734161377,0.1493310928344726,0.377986192703247,0.4220941066741943,0.4547803401947021,0.4709699153900146,2.014112710952759,2.0682170391082764,2.5551626682281494,1.9323384761810305,2.097275972366333,2.3002872467041016,1.838356733322144,1.4942593574523926
exact_050.hgr,0.0242245197296142,0.0231745243072509,0.0363268852233886,0.0319728851318359,0.0349481105804443,0.0354731082916259,0.0920760631561279,0.0285654067993164,0.0359971523284912,0.026069164276123,0.0234377384185791,0.0257742404937744,0.0251410007476806,0.020451545715332,0.0249330997467041,0.0472290515899658,0.0592856407165527,0.0559525489807128,0.0745801925659179,0.0709254741668701,0.1055185794830322,0.0934052467346191,0.0391147136688232,0.0466010570526123
exact_051.hgr,0.0440764427185058,0.0240819454193115,0.0583882331848144,0.0299403667449951,0.042325735092163,0.055887222290039,0.0445289611816406,0.038395881652832,0.0238430500030517,0.025120735168457,0.0389409065246582,0.0406596660614013,0.0292577743530273,0.0225274562835693,0.0354654788970947,0.0303733348846435,0.1782376766204834,0.1580893993377685,0.1822192668914795,0.0994837284088134,0.1733081340789795,0.1114618778228759,0.1426277160644531,0.1349296569824218
exact_052.hgr,0.0454931259155273,0.0198721885681152,0.0682497024536132,0.0292630195617675,0.0374760627746582,0.0361342430114746,0.1323935985565185,0.0522513389587402,0.0245077610015869,0.0219511985778808,0.0246591567993164,0.0240683555603027,0.0286087989807128,0.0336687564849853,0.0501015186309814,0.0437128543853759,0.1083986759185791,0.2267155647277832,0.1696808338165283,0.1022865772247314,0.1986365318298339,0.1069905757904052,0.0871379375457763,0.0848433971405029
exact_053.hgr,0.5408525466918945,0.4777345657348633,0.567582368850708,0.5272872447967529,0.8124065399169922,0.87013840675354,1.3191828727722168,0.6545372009277344,0.0416581630706787,0.0539560317993164,0.0584409236907959,0.0692574977874755,0.3176484107971191,0.2745165824890136,0.3895490169525146,0.3242604732513428,2.9202163219451904,2.1693356037139893,3.24816370010376,3.035522222518921,3.559128761291504,3.402909755706787,2.1213510036468506,3.0499844551086426
exact_054.hgr,0.052910566329956,0.026296854019165,0.0307397842407226,0.0313160419464111,0.0261123180389404,0.043947696685791,0.0904538631439209,0.0428323745727539,0.0270426273345947,0.0219957828521728,0.0284926891326904,0.0423531532287597,0.0402703285217285,0.0467984676361084,0.0343947410583496,0.0466265678405761,0.1199841499328613,0.1214747428894043,0.2441263198852539,0.1577534675598144,0.1118335723876953,0.09389328956604,0.0998365879058837,0.0851101875305175
exact_055.hgr,0.0385646820068359,0.0248091220855712,0.0396265983581543,0.0382821559906005,0.0232431888580322,0.0341382026672363,0.0651288032531738,0.0497064590454101,0.021754503250122,0.0181424617767334,0.031970739364624,0.0247895717620849,0.027318000793457,0.0218067169189453,0.0338740348815918,0.0278933048248291,0.1106848716735839,0.0911755561828613,0.1758620738983154,0.1062023639678955,0.0934586524963378,0.0936119556427002,0.1430706977844238,0.1183974742889404
exact_056.hgr,0.6438694000244141,0.5952854156494141,0.6388804912567139,0.5815892219543457,0.8591575622558594,1.3391671180725098,1.187236785888672,0.9162893295288086,0.0550456047058105,0.0424704551696777,0.0733668804168701,0.0647189617156982,0.3818011283874511,0.3709080219268799,0.3516435623168945,0.3928368091583252,3.77847671508789,3.1444244384765625,3.393846273422241,3.867275953292847,3.681694746017456,4.491596937179565,3.4815497398376465,4.013338327407837
exact_057.hgr,0.0371415615081787,0.0308856964111328,0.0251250267028808,0.0274217128753662,0.0216789245605468,0.030733585357666,0.0393624305725097,0.0295393466949462,0.0354232788085937,0.0211372375488281,0.0384621620178222,0.0306367874145507,0.0292267799377441,0.0283491611480712,0.0314776897430419,0.0214660167694091,0.1091337203979492,0.061047077178955,0.1550397872924804,0.0827829837799072,0.1469712257385254,0.0468318462371826,0.0991368293762207,0.0840821266174316
exact_058.hgr,0.0318341255187988,0.0343983173370361,0.0369741916656494,0.0294971466064453,0.05035400390625,0.069650650024414,0.0831160545349121,0.0516388416290283,0.0336732864379882,0.0422275066375732,0.0304548740386962,0.0217716693878173,0.0315346717834472,0.0293531417846679,0.0329399108886718,0.0536019802093505,0.1853668689727783,0.1152379512786865,0.1840929985046386,0.1824293136596679,0.1503012180328369,0.1747784614562988,0.1163175106048584,0.1715786457061767
exact_059.hgr,0.2020721435546875,0.2488684654235839,0.2183144092559814,0.2249786853790283,0.2815356254577636,0.3203463554382324,0.551114559173584,0.3236916065216064,0.0588111877441406,0.0313165187835693,0.0449364185333251,0.0596866607666015,0.1369130611419677,0.1339640617370605,0.1358203887939453,0.1456844806671142,0.9170408248901368,1.536637544631958,1.2349157333374023,0.9842967987060548,0.9735569953918456,1.1411199569702148,0.7996106147766113,1.0870091915130615
exact_060.hgr,0.4395921230316162,0.3635942935943603,0.3684179782867431,0.3512282371520996,0.6122748851776123,0.6062524318695068,0.986891508102417,0.5093638896942139,0.0532395839691162,0.0460400581359863,0.0596487522125244,0.075160264968872,0.2341656684875488,0.2432460784912109,0.2604086399078369,0.2525248527526855,2.537421226501465,1.888718605041504,2.547849655151367,2.0745689868927,2.3871893882751465,1.9809324741363523,1.8884596824646,1.884181022644043
exact_061.hgr,0.0435595512390136,0.032496690750122,0.0548305511474609,0.0360043048858642,0.044729471206665,0.0377609729766845,0.1122965812683105,0.045123815536499,0.0344049930572509,0.0312204360961914,0.0322966575622558,0.0266432762145996,0.0372591018676757,0.0310020446777343,0.0369219779968261,0.0346190929412841,0.1279494762420654,0.0776872634887695,0.216332197189331,0.1218786239624023,0.1239066123962402,0.1438331604003906,0.1711771488189697,0.1104223728179931
